Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/29/20,73,74.8,72.8,74.3,127,63944,4697446.3
10/28/20,73.5,74.4,72.5,73,333,756846,55539811.2
10/27/20,74.2,74.3,73.5,73.8,205,639701,47266288.3
10/26/20,73,74.3,73,73.9,283,346672,25592525.8
10/23/20,75.7,75.9,74.4,74.5,250,766282,57128986.9
10/22/20,73,76.5,73,74.5,303,396967,29587045.3
10/21/20,76.5,77.4,73,73.8,665,656205,49186873.8
10/20/20,77.4,77.4,76.5,76.7,281,423431,32476548.8
10/19/20,78.6,78.6,77,77.4,233,350573,27333446.4
10/16/20,77.1,79.1,76,77.3,224,432941,33363416.8
10/15/20,79,79,76.2,77.5,207,114488,8808028.3
10/14/20,74.5,79.5,74.3,77.6,305,583463,44451872.6
10/13/20,75,76,74.3,74.5,418,1010875,75739284.6
10/12/20,77,77.3,74.9,75.3,554,412990,31410512.9
10/9/20,76.5,78.2,76.5,77,356,594281,45823191.3
10/8/20,74.6,77.3,74.6,75.7,346,258994,19672589.8
10/7/20,74.1,76.5,74,74.4,496,1509384,113535653.7
10/6/20,74,78,70.2,74.4,887,1450229,108991563.3
10/5/20,76.5,77.4,73.1,74.7,1045,1882557,141400772.3
10/2/20,80,80,79,79.2,452,788423,62639488.3
9/30/20,79.5,80,78.4,79.9,446,932716,74229858
9/29/20,81,81,79.5,80,589,1908560,152763784.4
9/28/20,81,81.5,80.5,80.9,245,583243,47218300.2
9/25/20,81,81.9,80.5,81,227,383388,30982159.2
9/24/20,81,82,80.5,80.7,349,4571205,370173436.5
9/23/20,81.5,82,80.5,80.9,284,355091,28736268.1
9/22/20,83,83,80,80.9,375,757384,61501991.7
9/21/20,83.5,83.5,81.5,82.1,586,953540,78544276.3
9/18/20,82.9,83.8,82.6,82.8,906,4119392,342706397.6
9/17/20,79.1,82.9,79,82.4,821,2161527,174307921.5
9/16/20,79,80.6,78.5,79,403,718182,56838503.2
9/15/20,79.5,79.5,78.4,78.6,591,1496356,117932818.5
9/14/20,80,80.5,79.1,79.3,374,815905,65184645.8
9/11/20,79,80,79,79.5,183,233149,18535456
9/10/20,79.9,80,79,79,251,1424191,113577627.5
9/9/20,79,81.5,78.9,79,417,535107,42526019.3
9/8/20,77.5,78,77.1,77.6,374,276468,21421574.2
9/7/20,78.6,78.9,77.2,78,351,393535,30709628.4
9/4/20,79.6,79.6,78.4,78.6,576,1140805,89655803.1
9/3/20,80,80,79.5,79.6,376,302656,24136935.9
9/2/20,81,81,79.7,80,628,912922,73044687.7
8/31/20,81.9,81.9,80.8,80.9,261,686511,55604929.9
8/28/20,80.1,82,80.1,81.5,257,637093,51897052.7
8/27/20,82.2,82.2,79.9,80.1,1058,13563525,1084564313
8/26/20,82.5,82.5,81.2,81.6,323,323296,26406882
8/25/20,83.6,83.6,81.8,82.2,446,6001195,492677339.7
8/24/20,83.1,85,83,83.6,389,698153,58503769.4
8/21/20,83,83.4,82.8,83.1,238,450985,37460596.4
8/20/20,83,83.5,82.2,83,295,1937990,160795797.6
8/19/20,82.5,83.5,82,83.1,280,4685384,385671990.5
8/18/20,82.5,83,82,82.5,543,4685758,386552586.7
8/17/20,82.5,82.9,80.8,82,367,7516677,616569573.9
8/14/20,84,84,82.4,82.5,567,1729790,143321012.5
8/13/20,81.5,83.9,80.8,83.4,817,3643132,300734578.6
8/12/20,78,81.2,78,81,1130,8328669,666176644
8/11/20,76.2,77.7,76,76.6,273,13026789,998026963.5
8/10/20,77.4,77.4,75.8,76.2,213,2207278,167901396.2
8/7/20,78.5,79,76.3,76.9,355,2781751,215358040.7
8/6/20,76.8,77.6,76.3,77,269,1361596,104552647.5
8/5/20,77,77.5,76.6,77,204,683258,52595159.6
8/4/20,76,77,76,76.8,410,481759,36948679.4
7/31/20,73.5,75.1,73,75,196,1425982,106359239.5
7/30/20,73.5,73.5,72,72.4,594,4396073,316949618.8
7/29/20,74,74,73.4,73.5,246,879905,64731943
7/28/20,75,75,73.8,74,395,1135902,84660609.5
7/27/20,75,75,74.5,74.8,228,1449197,108476840.8
7/24/20,74.6,75,74.2,74.5,159,277927,20764330.6
7/23/20,74.6,74.7,74.3,74.4,154,287616,21407906.1
7/22/20,74.8,75,74.3,74.5,162,154750,11533066.6
7/21/20,75,75,74.2,74.7,232,709159,52900138.3
7/20/20,74.8,75.4,74.8,74.9,275,1194401,89569543.1
7/17/20,74,75,73.9,74,373,3210980,237854515.6
7/16/20,73,74.5,73,74,216,1279568,93624406.2
7/15/20,73,73.5,71,72.6,286,557401,40501825.9
7/14/20,70,73.4,70,73.1,597,4442848,324009190.7
7/13/20,70,73.1,66,70.8,896,1685234,118441000.7
7/10/20,76,76,71,73.9,882,2923700,217657137.5
7/9/20,76.6,77.5,76.5,76.6,277,952555,73137441.6
7/8/20,76.5,77,76.3,76.6,258,1498999,114670311.5
7/7/20,76.5,77.3,76.2,76.5,375,6146069,470272493
7/6/20,76.5,76.5,74.5,75.8,561,1047980,78917487.1
7/3/20,77.9,77.9,76.1,76.5,433,7222393,553841093.1
7/2/20,78,78,76,77.1,548,2189399,169497458
7/1/20,79,79.1,77.9,78,524,827545,64860084.8
6/30/20,79.9,79.9,77.8,78.8,1045,6612669,518321987.1
6/29/20,77.1,77.6,76.5,77,444,1410087,108774655.2
6/26/20,76.5,77.3,75.6,76.7,438,2876841,219707359.6
6/25/20,76.4,77.5,76.4,76.9,576,2221766,170690760.8
6/24/20,76,76.5,75,76,643,2436475,184696771.8
6/23/20,74.8,76.9,74.6,75.9,869,2536361,192014919.4
6/22/20,71,74.6,71,74.1,714,2390941,175204621.5
6/19/20,69.8,71.4,69.8,71,656,4153502,292650566.3
6/18/20,70,71,69.6,69.8,764,6277353,438619711.8
6/17/20,69,70.5,69,69.9,651,4441835,309852965.3
6/16/20,68.8,69.1,68,68.8,277,5216495,359482768.1
6/15/20,69.1,70,67.8,68,499,477396,32963255.5
6/12/20,67.2,69.5,66.6,68.8,601,2595790,176192446.4
6/11/20,66.5,67.9,66.3,67.4,513,2856048,191954656.4
6/10/20,66.2,66.9,65,65.5,629,2839767,185387256.5
6/9/20,64,66.9,64,65.2,806,4569711,297538065.8
6/8/20,63.5,64,63.4,63.5,506,2599109,165521428
6/4/20,63,63.1,62.5,62.7,127,101650,6379101.4
6/3/20,62.5,64,62.5,63,407,960307,60595997.1
6/2/20,63,63,62,62.3,371,446039,27885656.4
6/1/20,63.1,63.1,60.9,61.6,657,943894,58037272.5
5/29/20,64.7,64.7,62.1,63,815,1459928,92192734.4
5/28/20,64,65,64,64.8,668,1542178,100131805.2
5/27/20,64,65.1,60.5,64,809,1092917,69518046.4
5/26/20,69,69,63.9,63.9,1561,2690451,173915711.8
5/22/20,71,71.9,66.5,68.1,1500,4435326,307395684
5/21/20,65,71.5,65,70.2,1597,5860715,406624158.8
5/20/20,59,64,59,62.1,1371,3935315,239085660.2
5/19/20,57,59,56.9,57.6,1365,7528771,432006183.8
5/18/20,55.8,57.1,55.8,56.1,1389,4866484,273551317.9
5/15/20,52,55,50.6,54.8,878,3474767,180540453.2
5/14/20,57,58.5,50,50.1,2048,58452021,2935360249
5/13/20,57,59,55,55.4,784,2854836,159991260.1
5/12/20,54,57,54,55.1,870,1072438,58982265.4
5/11/20,55,55,54,55,88,20637,1134035
3/20/20,67,67,59.6,60.1,628,1408702,85122440.2
3/13/20,74,74,70,72.1,648,1102402,77905036.4
3/12/20,77.7,77.7,74,75,438,872175,65410273.9
3/11/20,77.8,79.9,77.5,78,225,328128,25619195.2
3/10/20,79,79,75.5,77.2,463,597906,46225004.1
3/6/20,81.1,81.1,79.2,79.7,511,1508692,120505973.5
3/5/20,84.5,84.5,80.5,81,570,2282221,185200845.6
3/4/20,86.5,86.5,84.4,84.5,208,128628,10934050.2
3/3/20,86,88.4,85.4,85.8,173,197920,17016542.2
3/2/20,86,88.7,85,86,163,129904,11119981.3
2/28/20,87,87,85.3,85.5,257,1362027,117130830.1
2/27/20,88,88.5,87.1,87.5,104,53587,4711278.9
2/26/20,89,89,86.9,87,129,119901,10457693.6
2/25/20,90,90,88,89,97,53607,4768883.4
2/24/20,90,91,89.5,89.8,151,189123,17094645.8
2/20/20,89,91.5,89,90,243,1182477,106447663.4
2/19/20,88.4,91,88,89.9,237,75762,6768219.6
2/18/20,87.3,88.5,85.7,88.1,255,120918,10484099.3
2/17/20,86,86.5,85.4,85.5,352,983006,84084953.1
2/14/20,87.5,88,84.6,85.5,723,898453,76735739.7
2/13/20,89,89,87,87.2,356,173463,15249663.5
2/12/20,89.9,89.9,88.7,88.9,313,164342,14642474.7
2/11/20,93,93,91.9,92,335,2282535,210098451.5
2/10/20,94,94,92.5,92.5,168,687937,63637058.1
2/7/20,93,93,92,92.2,224,920181,84703643.3
2/6/20,94.8,94.8,92,92.2,267,1094508,100994860.2
2/5/20,93,93,92.9,93,101,61733,5741008.9
2/3/20,93,95,92.1,92.4,188,2013663,185413885.3
1/31/20,91.9,93,91.8,92,194,757416,69682553
1/30/20,92.5,92.7,91.9,92,132,2579417,237346830
1/29/20,92.5,93,92,92,179,6265150,576447120
