Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
10/1/20,2/10/20,80,6/10/20,70.2,74.3,7970,13439246,1014645347,29-10-2020,20
9/1/20,18/09/2020,83.8,8/9/20,77.1,79.9,9352,24975322,2014728093,30-09-2020,21
8/1/20,24/08/2020,85,10/8/20,75.8,80.9,8695,75430589,6042319954,31-08-2020,20
7/1/20,1/7/20,79.1,13/07/2020,66,75,8867,45895583,3434637682,31-07-2020,23
6/1/20,30/06/2020,79.9,1/6/20,60.9,78.8,12193,58964036,4172472223,30-06-2020,21
5/1/20,22/05/2020,71.9,14/05/2020,50,63,15743,99286784,5430429566,29-05-2020,14
3/1/20,2/3/20,88.7,20/03/2020,59.6,60.1,4027,8556678,645059342.6,20-03-2020,10
2/1/20,3/2/20,95,14/02/2020,84.6,85.5,4500,12437223,1119165052,28-02-2020,18
1/1/20,2/1/20,96,17/01/2020,89,92,3208,20683622,1889259118,31-01-2020,20
12/1/19,2/12/19,100.1,31/12/2019,94.7,95,2922,5198847,505410276.8,31-12-2019,20
11/1/19,19/11/2019,104,1/11/19,96.9,100.1,3387,15495967,1558925073,29-11-2019,19
10/1/19,9/10/19,101,17/10/2019,95,96.9,3303,13201350,1304413240,31-10-2019,23
9/1/19,3/9/19,108,26/09/2019,97.9,98.1,1198,1505097,154217881.7,30-09-2019,20
8/1/19,9/8/19,112.5,2/8/19,101.1,107.7,1345,3706487,395794698.5,30-08-2019,20
7/1/19,30/07/2019,115,1/7/19,92.5,109.8,2544,10924784,1130915551,31-07-2019,22
6/1/19,13/06/2019,94.9,6/6/19,89.5,91.9,709,2972354,275444454.9,28-06-2019,19
5/1/19,29/05/2019,98,17/05/2019,88.6,91.6,1090,3032179,274036215.2,31-05-2019,21
4/1/19,3/4/19,103,23/04/2019,90,92,1348,4838357,455391737.6,30-04-2019,19
3/1/19,1/3/19,106,14/03/2019,97,98.7,1419,15566153,1546748159,29-03-2019,19
2/1/19,1/2/19,114.8,28/02/2019,105,105.4,1263,5633064,617800419.4,28-02-2019,18
1/1/19,2/1/19,115.9,24/01/2019,113,114,953,7214632,822950110.9,31-01-2019,21
12/1/18,3/12/18,120,31/12/2018,114.5,115,817,8572726,994198145.6,31-12-2018,20
11/1/18,5/11/18,125.4,14/11/2018,112,117.6,1533,7913452,927698194.9,30-11-2018,19
10/1/18,31/10/2018,120,25/10/2018,107.5,117.9,1820,10389847,1147553362,31-10-2018,22
9/1/18,3/9/18,125,28/09/2018,112.9,113,1165,4541486,529244381.2,28-09-2018,19
8/1/18,13/08/2018,127.3,24/08/2018,120.6,125,1072,4858376,599617806.6,31-08-2018,22
7/1/18,25/07/2018,130.7,5/7/18,122.5,125.4,1025,7030052,877436073.9,31-07-2018,21
6/1/18,4/6/18,131.9,29/06/2018,122.9,123,1658,11400517,1431218217,29-06-2018,19
5/1/18,1/5/18,137,31/05/2018,131,131,995,3834837,507822157.6,31-05-2018,21
4/1/18,24/04/2018,138.5,3/4/18,133,135.2,617,1542204,211100176.2,27-04-2018,19
3/1/18,5/3/18,138.9,29/03/2018,133,135.8,877,6254094,845922975.4,29-03-2018,20
2/1/18,7/2/18,141,23/02/2018,134,138.5,898,11321098,1577894230,28-02-2018,18
1/1/18,11/1/18,142.5,22/01/2018,136,139.7,937,17627397,2432903570,30-01-2018,20
12/1/17,12/12/17,139,12/12/17,134,135.8,728,4297786,586849723.9,29-12-2017,19
11/1/17,1/11/17,149.6,29/11/2017,133,135,1148,15075796,2023046024,30-11-2017,21
10/1/17,31/10/2017,150,2/10/17,138,149.7,1677,29281420,4263672422,31-10-2017,20
9/1/17,20/09/2017,141,13/09/2017,134.6,138.5,729,8339405,1155400531,29-09-2017,19
8/1/17,2/8/17,139,31/08/2017,136.2,136.5,857,5904764,809280587.4,31-08-2017,22
7/1/17,10/7/17,140.1,25/07/2017,137.2,138,940,3553441,493288775.9,31-07-2017,21
6/1/17,15/06/2017,141,7/6/17,133,139.2,1390,4524478,628097821.4,30-06-2017,20
5/1/17,16/05/2017,149,30/05/2017,133,134.1,1238,23486778,3197060337,31-05-2017,20
4/1/17,28/04/2017,145.1,3/4/17,130.5,145,994,38440472,5529381577,28-04-2017,17
3/1/17,2/3/17,144,30/03/2017,128.5,130.4,1255,6103623,819059330.4,31-03-2017,23
2/1/17,3/2/17,146.2,9/2/17,140,143,422,2464497,352350926.8,28-02-2017,18
1/1/17,30/01/2017,148.5,17/01/2017,139.5,145,433,2732425,388811095.8,31-01-2017,21
12/1/16,28/12/2016,146,20/12/2016,140.3,145,650,15241162,2201028354,30-12-2016,19
11/1/16,7/11/16,151.9,28/11/2016,138.5,140,1017,4094811,594847794.3,30-11-2016,21
10/1/16,7/10/16,150.8,31/10/2016,140.1,143.9,894,3619990,536207197.7,31-10-2016,21
9/1/16,30/09/2016,144.5,8/9/16,137.1,144,944,4996896,704025622.8,30-09-2016,20
8/1/16,24/08/2016,142,1/8/16,130.5,138.9,1742,5371170,740581089.6,31-08-2016,22
7/1/16,29/07/2016,130.5,4/7/16,120.1,130,914,2517369,319811044.3,29-07-2016,19
6/1/16,10/6/16,130,27/06/2016,121,121.7,1288,4990541,626861972,30-06-2016,22
5/1/16,11/5/16,133.5,31/05/2016,127.5,127.8,1574,25135310,3284012808,31-05-2016,20
4/1/16,8/4/16,136,1/4/16,121,130.7,1270,2106049,276213460.5,29-04-2016,18
3/1/16,31/03/2016,125.9,9/3/16,115,125.5,1674,13729022,1650196522,31-03-2016,20
2/1/16,2/2/16,131,18/02/2016,123,124.9,1245,2923784,371020586.7,29-02-2016,19
1/1/16,4/1/16,142,20/01/2016,125,127.1,1977,11419411,1553559783,29-01-2016,19
12/1/15,16/12/2015,144,31/12/2015,139.9,140.2,2094,12456172,1759048803,31-12-2015,21
11/1/15,6/11/15,160,30/11/2015,140,140.3,1615,5668894,854199770.2,30-11-2015,19
