Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020-44,29/10/2020,74.8,28/10/2020,72.5,74.3,948,1807163,133096071.6,29-10-2020,4
2020-43,19/10/2020,78.6,22/10/2020,73,74.5,1732,2593458,195712901.2,23-10-2020,5
2020-42,14/10/2020,79.5,14/10/2020,74.3,77.3,1708,2554757,193773115.2,16-10-2020,5
2020-41,9/10/20,78.2,6/10/20,70.2,77,3130,5695445,429423770.4,9/10/20,5
2020-40,28/09/2020,81.5,30/09/2020,78.4,79.2,1732,4212942,336851430.9,2/10/20,4
2020-39,21/09/2020,83.5,22/09/2020,80,81,1821,7020608,569938131.8,25-09-2020,5
2020-38,18/09/2020,83.8,15/09/2020,78.4,82.8,3095,9311362,756970286.6,18-09-2020,5
2020-37,9/9/20,81.5,8/9/20,77.1,79.5,1576,2862450,226770305.4,11/9/20,5
2020-36,31/08/2020,81.9,4/9/20,78.4,78.6,1841,3042894,242442356.6,4/9/20,4
2020-35,24/08/2020,85,27/08/2020,79.9,81.5,2473,21223262,1714049357,28-08-2020,5
2020-34,20/08/2020,83.5,17/08/2020,80.8,83.1,1723,19276794,1587050545,21-08-2020,5
2020-33,14/08/2020,84,10/8/20,75.8,82.5,3000,28935658,2276160595,14-08-2020,5
2020-32,7/8/20,79,4/8/20,76,76.9,1238,5308364,409454527.2,7/8/20,4
2020-31,31/07/2020,75.1,30/07/2020,72,75,1659,9287059,681178251.6,31-07-2020,5
2020-30,20/07/2020,75.4,24/07/2020,74.2,74.5,982,2623853,196174984.7,24-07-2020,5
2020-29,17/07/2020,75,13/07/2020,66,74,2368,11176031,814430939.1,17-07-2020,5
2020-28,9/7/20,77.5,10/7/20,71,73.9,2353,12569303,954654870.7,10/7/20,5
2020-27,30/06/2020,79.9,2/7/20,76,76.5,2994,18262093,1415295278,3/7/20,5
2020-26,25/06/2020,77.5,22/06/2020,71,76.7,3240,12462384,942314433.1,26-06-2020,5
2020-25,19/06/2020,71.4,15/06/2020,67.8,71,2847,20566581,1433569267,19-06-2020,5
2020-24,12/6/20,69.5,8/6/20,63.4,68.8,3055,15460425,1016593853,12/6/20,5
2020-23,3/6/20,64,1/6/20,60.9,62.7,1562,2451890,152898027.4,4/6/20,4
2020-22,26/05/2020,69,27/05/2020,60.5,63,3853,6785474,435758297.8,29-05-2020,4
2020-21,22/05/2020,71.9,18/05/2020,55.8,68.1,7222,26626611,1658663005,22-05-2020,5
2020-20,13/05/2020,59,14/05/2020,50,54.8,4668,65874699,3336008263,15-05-2020,5
12/1/20,20/03/2020,67,20/03/2020,59.6,60.1,628,1408702,85122440.2,20-03-2020,1
11/1/20,11/3/20,79.9,13/03/2020,70,72.1,1774,2900611,215159509.6,13-03-2020,4
10/1/20,2/3/20,88.7,6/3/20,79.2,79.7,1625,4247365,344777392.8,6/3/20,5
9/1/20,24/02/2020,91,28/02/2020,85.3,85.5,738,1778245,154163331.8,28-02-2020,5
8/1/20,20/02/2020,91.5,17/02/2020,85.4,90,1087,2362163,207784935.4,20-02-2020,4
7/1/20,10/2/20,94,14/02/2020,84.6,85.5,1895,4206730,380363387.5,14-02-2020,5
6/1/20,3/2/20,95,7/2/20,92,92.2,780,4090085,376853397.7,7/2/20,4
5/1/20,27/01/2020,94,31/01/2020,91.8,92,672,9833671,905004764.8,31-01-2020,5
4/1/20,24/01/2020,94.4,20/01/2020,89.5,93.5,849,9760557,883470498,24-01-2020,5
3/1/20,13/01/2020,93.9,17/01/2020,89,89.9,826,520869,47231596.9,17-01-2020,4
2/1/20,6/1/20,95,9/1/20,92,92.8,566,241812,22513508.5,9/1/20,4
1/1/20,2/1/20,96,2/1/20,94.7,95,295,326713,31038749.5,3/1/20,2
