Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/29/20,940,962,935,955,17,338,318898.1
10/28/20,965,969,936,939.9,27,5438,5119997.3
10/27/20,945,960,945,945.1,4,217,205085
10/26/20,970,970,940,940.7,36,901,852101.6
10/23/20,968,969,945,956.4,11,309,296758.9
10/22/20,945,959,943,949.8,43,26104,24669838.5
10/21/20,946,946,945,945,45,2475,2339052.9
10/20/20,947,959,945,949.4,12,158,150000
10/19/20,950,950,944.1,945,34,2080,1966627.4
10/16/20,950,950,945,945.3,31,2368,2239001
10/15/20,945,958,945,945,26,673,636181.5
10/14/20,970,970,941,944.9,29,717,682705.8
10/13/20,954.1,954.1,950,948.8,17,66,62790.3
10/12/20,966.8,970,954,948.8,14,67,64731.9
10/9/20,950,950,945,948.8,13,269,255269.3
10/8/20,945,950,945,947.4,28,758,717796.4
10/7/20,940,945,925,944.3,37,61069,57664915.9
10/6/20,940,969,925,952.9,39,976,920888
10/5/20,945,945,900,933.6,62,1375,1282400.8
10/2/20,970,970,945,968,131,194905,184202027.3
9/30/20,970,970,965,966.9,13,356,344768.9
9/29/20,968.3,971,965,966.5,18,725,701846
9/28/20,970,972,960,968.3,19,819,790214.1
9/25/20,946,962,946,958.9,17,233,222750
9/24/20,951.5,960,945.1,959.5,29,26354,25285041.3
9/23/20,955,955,954,954.9,15,161,153742
9/22/20,960,960,960,945,2,70,67200
9/21/20,945,962,944.4,945,103,115538,109191595.4
9/18/20,946,974,944.7,945,99,22213,20992129.2
9/17/20,945,950,945,945,61,25607,24199039.1
9/16/20,945,978,945,945,55,20308,19192003.1
9/15/20,950,950,945,945.2,83,19802,18715722.4
9/14/20,950,950,945,945.7,80,21818,20627103.4
9/11/20,955,955,945,948.2,112,123744,116998340.9
9/10/20,969.9,969.9,945,950,181,99064,94082491.9
9/9/20,970,970,960,970,22,1123,1087249
9/8/20,960,960,956,959.2,24,1461,1402106
9/7/20,968.2,968.2,960,960.5,24,587,565682.4
9/4/20,975,975,968,968.1,32,2404,2328700.7
9/3/20,978,978,976.9,977.8,6,80,78166
9/2/20,975,977.9,969,977.8,20,721,704969.4
8/31/20,969,978,969,968.3,2,11,10668
8/28/20,970,970,968,968.3,17,1383,1340710
8/27/20,970,975,967,970.8,11,907,880287
8/26/20,961,970,960,969.8,23,945,909719.5
8/25/20,979,979,967,971.3,8,58,56379
8/24/20,975,985,970,971.3,19,3541,3439593.5
8/21/20,990,990,970,973.8,32,1522,1485875.8
8/20/20,971.2,980,971.2,980,25,916,895182.4
8/19/20,975,975,965,974.7,14,417,406113
8/18/20,970,978,968,974.4,11,187,182209.2
8/17/20,980,980,958,959.8,54,20862,20029806.4
8/14/20,960,975,957.5,959.6,38,3329,3195561.5
8/13/20,974,975,958,965.9,25,3358,3266219.6
8/12/20,975,975,960,960,13,872,838170
8/11/20,970,980,968,970.9,34,788,765260.9
8/10/20,973.9,973.9,953,960.1,10,893,856662
8/7/20,961,974,950,952.8,17,1598,1522622
8/6/20,968.9,969.9,950,950.3,54,3731,3547694
8/5/20,968.9,968.9,965,951.4,7,42,40561.2
8/4/20,952.2,970.9,950,951.4,16,379,360410.4
7/31/20,975,975,948.1,950.4,46,11287,10729024.7
7/30/20,978.9,978.9,950,953.8,16,122,116616.6
7/29/20,950,950,950,950,14,1069,1015550
7/28/20,950,978.9,945.3,950.6,19,444,422106.2
7/27/20,945,950,945,950,11,2238,2126075
7/24/20,950,950,950,950,11,260,247000
7/23/20,949.9,950,949.9,950,6,2021,1919900
7/22/20,950,950,940.1,940,5,12,11390.1
7/21/20,950,950,940,940,49,15363,14442381.2
7/20/20,950,950,950,950,37,1917,1821150
7/17/20,949.9,949.9,941,949,8,104,98700.6
7/16/20,950,950,940,940.2,27,11090,10426577.7
7/15/20,950,950,945,949.9,17,2133,2026123.1
7/14/20,950,950,949.9,950,9,469,445539.8
7/13/20,948.1,950,930,937.9,29,474,444763.3
7/10/20,951,959.9,949,950,27,1449,1376555.1
7/9/20,975,975,950,951,82,22953,22010944.9
7/8/20,961,980,961,974.7,7,2333,2273948
7/7/20,989,989.9,961,961,31,11805,11529390.4
7/6/20,960,1000,949,999.7,5,23221,23213690
7/3/20,960,960,946,950.2,8,107,101674
7/2/20,956,956,950,950,33,9010,8559565
7/1/20,959.5,960,956.5,959.2,10,37495,34888369.5
6/30/20,960,960,950,950.7,38,1129,1077891.1
6/29/20,970,970,959,961.7,48,1871,1803960.3
6/26/20,970,970,970,960,4,57,55290
6/25/20,960.1,970,955,960,50,1552,1490838.5
6/24/20,990,990,960,970,15,861,833736.9
6/23/20,962,980,960,979.7,18,2269,2222731.4
6/22/20,980,980,969,969.8,10,308,298775
6/19/20,990,990,970,970,10,287,280400
6/18/20,960,980,950,950.1,19,84855,80616598.5
6/17/20,999.9,1000,950,950.5,62,91901,87363284.7
6/16/20,999.7,999.7,960,965.9,65,889,865043.6
6/15/20,970,999.9,970,995.5,9,117,116427.5
6/12/20,985,985,980,950.1,7,78,76550
6/11/20,999.8,999.8,950,950.1,48,125751,119493127.7
6/10/20,1000,1000,990,1000,8,25523,24272989
6/9/20,958,1000,958,999.8,44,6394,6381569
6/8/20,947,969,947,963.7,25,319,306897
6/4/20,,,,930,1,30000,27900000
6/3/20,930,940,930,930,15,21602,20090034.1
6/2/20,925,948.8,925,930,7,54,50296.1
6/1/20,940,940,925,930,14,56069,52144145
5/29/20,950,950,922,938.7,15,25559,23777590
5/28/20,950,950,940,949.6,6,180,170930
5/27/20,940,940,900,911.3,27,1058,959548.6
5/26/20,910,920,910,920,9,1011,928120
5/22/20,951,951,900,905.4,38,5231,4736336.5
5/21/20,940,990,940,900.4,4,34,32599
5/20/20,979,979,899.9,900.4,27,40439,36456374.4
5/19/20,979,979,950,950,21,1261,1200850
5/18/20,900,920,900,920,20,1185,1084890
5/15/20,900,900,880,890.3,34,76661,68254510.4
5/14/20,900,900,877,880,31,94908,83519979.5
5/13/20,900,980,880,899.6,47,104827,92395698.5
5/12/20,925,925,875,899.8,35,42179,37955269.4
5/11/20,950,950,950,1000,3,28,26600
3/20/20,1000,1000,990.1,1000,6,54,53733.9
3/13/20,1010,1040,1000,1000,35,1705,1705182
3/12/20,1016,1019,1010,1010.8,25,375,379531.9
3/11/20,1020,1035,1012.1,1020,12,399,407272.1
3/10/20,1045,1045,1020,1020,20,1276,1312660
3/6/20,1055,1099,1040,1048.5,12,2754,2893684
3/5/20,1098,1098,1050,1099.4,5,82,86216
3/3/20,1015.1,1100,1010.3,1099.4,12,362,397114.7
3/2/20,1100,1100,1002,1099,10,1206,1325351.5
2/28/20,1115.1,1122.8,1110,1110,21,161296,179041219.2
2/27/20,1130,1139.8,1115,1123,15,2160,2430039.8
2/26/20,1115,1120,1112,1119.9,27,66280,74191571.9
2/25/20,1135,1135,1120,1120,18,778,873863.5
2/24/20,1140,1140,1139,1140,5,256,291838
2/20/20,1140.1,1150.3,1140.1,1150.2,9,443,509432.7
2/18/20,1125,1140,1115.1,1131.9,9,757,859249.8
2/17/20,1120,1140,1100.3,1135.5,4,12,13465.3
2/14/20,1149.9,1150,1135,1135.5,11,1246,1415153
2/13/20,1150,1150,1130,1149.9,15,7087,8148201.5
2/12/20,1149.9,1150,1145,1146.7,21,19430,22343208.6
2/11/20,1160,1160,1149.9,1150,14,26167,30092070
2/10/20,1150,1150,1113,1149.9,16,570,654986
2/7/20,1150,1160,1150,1150,9,2977,3423660
2/6/20,1101.1,1151,1101.1,1150,22,8615,9900785
2/5/20,1115,1150,1101,1149.2,25,14917,17047700.3
2/3/20,1100,1124,1100,1113.6,14,10245,11272797.3
1/31/20,1100,1100,1100,1100,9,23719,26090900
1/30/20,1100,1100,1100,1099.9,1,1,1100
1/29/20,1100,1100,1080,1099.9,9,2003,2203098.4
1/28/20,1122,1145,1080,1080,13,881,955397
1/27/20,1100.1,1100.1,1099,1100,11,2188,2406787
1/24/20,1110,1149.9,1100,1100,12,8045,8856896.2
1/23/20,1089.9,1120,1089.9,1100,31,58428,64268183
1/22/20,1089,1089,1060,1060.2,12,2438,2585888
1/21/20,1060.1,1061,1060,1060,9,611,647677.3
1/20/20,1060,1089,1060,1060.1,9,890,955120.7
1/17/20,1089.9,1089.9,1060,1076.8,20,1001,1072690.2
1/16/20,1070.2,1090,1070,1070.1,17,537,574871.7
1/14/20,1090,1090,1070.2,1079.9,12,327,353070.4
1/13/20,1080,1139.9,1080,1100,7,60586,66644579.9
1/9/20,1090.1,1100,1085,1100,18,30742,33814780.7
1/8/20,1096,1096,1091,1095,16,158,173047
1/7/20,1100,1100,1095,1099.8,6,136,149575
1/6/20,1095,1095,1093,1095,16,3352,3670409
1/3/20,1110,1120,1095,1095,56,22720,24887863
1/2/20,1110,1120,1100,1100,29,21078,23186732.6
12/31/19,1120,1120,1100,1100.3,16,1764,1947897
12/30/19,1115,1115,1100,1111.4,10,444,493556
12/27/19,1125,1125,1100,1100,19,3418,3786700
12/26/19,1100,1115,1100,1101.4,12,176,193900.2
12/23/19,1100,1120,1100,1103.1,6,154,169875
12/20/19,1149.9,1149.9,1149.9,1106,1,1,1149.9
12/19/19,1105.1,1105.1,1075,1106,5,39018,42919780.1
12/18/19,1107.9,1107.9,1106,1106,12,3961,4387071.4
12/17/19,1110,1110,1109.9,1110,10,222,246416.3
12/16/19,1117,1118,1110,1110.2,11,705,783913.6
