Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
10/1/20,26/10/2020,970,5/10/20,900,955,656,301263,284647067.9,29-10-2020,20
9/1/20,16/09/2020,978,21/09/2020,944.4,966.9,1015,483188,457730861.2,30-09-2020,21
8/1/20,21/08/2020,990,7/8/20,950,968.3,430,45739,44029705.4,31-08-2020,20
7/1/20,6/7/20,1000,13/07/2020,930,950.4,507,157376,150247035.2,31-07-2020,23
6/1/20,17/06/2020,1000,2/6/20,925,950.7,517,451886,427740585.4,30-06-2020,21
5/1/20,21/05/2020,990,12/5/20,875,938.7,317,394561,351499296.3,29-05-2020,14
3/1/20,3/3/20,1100,20/03/2020,990.1,1000,137,8213,8560746.1,20-03-2020,9
2/1/20,11/2/20,1160,3/2/20,1100,1110,255,323236,362509241.9,28-02-2020,17
1/1/20,24/01/2020,1149.9,22/01/2020,1060,1100,313,239841,263498667.1,31-01-2020,20
12/1/19,5/12/19,1188.9,19/12/2019,1075,1100.3,211,91992,102509708.3,31-12-2019,19
11/1/19,20/11/2019,1239,5/11/19,1051,1149.9,355,284046,314185375.5,29-11-2019,19
10/1/19,2/10/19,1140,4/10/19,1045,1050,612,679492,718975525.1,31-10-2019,23
9/1/19,2/9/19,1250,30/09/2019,1100.1,1109.2,227,263532,304495657.5,30-09-2019,18
8/1/19,15/08/2019,1306,30/08/2019,1200,1215.1,134,31421,39866771.4,30-08-2019,19
7/1/19,30/07/2019,1300,23/07/2019,1200.1,1298.8,106,45808,59090742.2,31-07-2019,21
6/1/19,21/06/2019,1300,26/06/2019,1270,1280,56,25351,32780941.8,26-06-2019,15
5/1/19,2/5/19,1399.9,15/05/2019,1275,1300,97,21425,27868752.3,31-05-2019,16
4/1/19,8/4/19,1360,23/04/2019,1250,1300.1,80,94701,125453413.2,30-04-2019,14
3/1/19,5/3/19,1420,27/03/2019,1325,1339.9,77,287958,393986003.1,29-03-2019,13
2/1/19,28/02/2019,1420,21/02/2019,1350,1419.1,70,379747,540704373,28-02-2019,17
1/1/19,2/1/19,1499,31/01/2019,1400,1430,97,96545,137198733.7,31-01-2019,19
12/1/18,19/12/2018,1500,31/12/2018,1400,1415,82,197501,280823538.1,31-12-2018,17
11/1/18,19/11/2018,1430,2/11/18,1385,1409.9,97,305099,427191233.4,30-11-2018,19
10/1/18,25/10/2018,1425,4/10/18,1350,1385.8,125,51616,70368019.1,31-10-2018,20
9/1/18,5/9/18,1385,14/09/2018,1250,1358,127,80459,108394000.1,28-09-2018,17
8/1/18,24/08/2018,1342,1/8/18,1175,1339,277,296472,377849760.3,31-08-2018,22
7/1/18,31/07/2018,1180,5/7/18,1100,1175.5,134,54873,62729980.7,31-07-2018,21
6/1/18,29/06/2018,1130,4/6/18,1070,1121.7,134,109290,122554864.7,29-06-2018,18
5/1/18,30/05/2018,1098.9,4/5/18,1021,1077.9,120,53823,56530064.2,31-05-2018,20
4/1/18,18/04/2018,1080,11/4/18,1000.3,1020,97,18319,19156550.7,26-04-2018,16
3/1/18,26/03/2018,1069.9,20/03/2018,1000,1040,69,38504,39472092.9,29-03-2018,15
2/1/18,2/2/18,1095,22/02/2018,1027,1053.9,64,96893,104072398.7,28-02-2018,14
1/1/18,29/01/2018,1080,17/01/2018,992,1080,133,311162,323290511.6,29-01-2018,16
12/1/17,22/12/2017,1005,8/12/17,958,1004.5,104,137409,133109813.1,29-12-2017,15
11/1/17,6/11/17,994,28/11/2017,934.1,950,167,141454,135584733.8,30-11-2017,20
10/1/17,26/10/2017,1000,27/10/2017,971,990,86,43937,43888379.4,31-10-2017,16
9/1/17,21/09/2017,1005,12/9/17,951,971,194,171012,168143796.9,29-09-2017,18
8/1/17,25/08/2017,961,15/08/2017,950,957,95,42113,40132445.3,31-08-2017,20
7/1/17,3/7/17,998.9,7/7/17,949,950,126,51097,49011191.3,31-07-2017,19
6/1/17,6/6/17,1000,28/06/2017,960,990,149,144398,143640563.7,30-06-2017,18
5/1/17,23/05/2017,1017,31/05/2017,970,970.1,166,214932,212591266.2,31-05-2017,18
4/1/17,17/04/2017,1030,4/4/17,865,989.9,282,182771,177085533.5,28-04-2017,16
3/1/17,27/03/2017,880,1/3/17,815.3,870.9,152,104806,91249893.7,31-03-2017,22
2/1/17,8/2/17,874,17/02/2017,810.1,815,180,96524,78677095.3,28-02-2017,16
1/1/17,30/01/2017,825,5/1/17,800,812.3,167,81523,66371970.2,31-01-2017,18
12/1/16,1/12/16,899.9,27/12/2016,797,806.5,308,293359,249127418.4,30-12-2016,19
11/1/16,25/11/2016,900,1/11/16,840,884,192,329183,288110311.7,30-11-2016,20
10/1/16,4/10/16,880,24/10/2016,826,850,237,427678,364082353.9,31-10-2016,21
9/1/16,13/09/2016,905,21/09/2016,850,860,347,691813,608125766.4,30-09-2016,20
8/1/16,18/08/2016,940,9/8/16,870,883.1,607,494083,451172658.3,31-08-2016,22
7/1/16,1/7/16,1050.1,28/07/2016,922,930,252,49594,49752292.7,29-07-2016,16
6/1/16,10/6/16,1134.5,29/06/2016,1000,1050,105,137368,152782476.6,30-06-2016,20
5/1/16,18/05/2016,1140,5/5/16,1040,1115,213,306837,342309160.6,31-05-2016,19
4/1/16,29/04/2016,1094.9,4/4/16,1002,1078.4,155,30699,32039257.7,29-04-2016,17
3/1/16,4/3/16,1015,9/3/16,950,1011.9,219,583510,583459538.9,31-03-2016,20
2/1/16,15/02/2016,1042,2/2/16,970,999.9,194,190103,190131176.1,29-02-2016,18
1/1/16,5/1/16,995,14/01/2016,950,973,125,212701,206002019.7,28-01-2016,15
12/1/15,30/12/2015,1000,29/12/2015,956,992.5,101,372390,373095872,31-12-2015,14
11/1/15,24/11/2015,999,6/11/15,960,990,197,308914,304841953.3,30-11-2015,18
