Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/20,26/10/2020,970,5/10/20,900,955,656,301263,284647067.9,29-10-2020,20
3/1/20,6/7/20,1000,13/07/2020,930,966.9,1952,686303,652007601.8,30-09-2020,64
2/1/20,17/06/2020,1000,12/5/20,875,950.7,834,846447,779239881.7,30-06-2020,35
1/1/20,11/2/20,1160,20/03/2020,990.1,1000,705,571290,634568655.1,20-03-2020,46
4/1/19,20/11/2019,1239,4/10/19,1045,1100.3,1178,1055530,1135670609,31-12-2019,61
3/1/19,15/08/2019,1306,30/09/2019,1100.1,1109.2,467,340761,403453171.1,30-09-2019,58
2/1/19,2/5/19,1399.9,23/04/2019,1250,1280,233,141477,186103107.3,26-06-2019,45
1/1/19,2/1/19,1499,27/03/2019,1325,1339.9,244,764250,1071889110,29-03-2019,49
4/1/18,19/12/2018,1500,4/10/18,1350,1415,304,554216,778382790.6,31-12-2018,56
3/1/18,5/9/18,1385,5/7/18,1100,1358,538,431804,548973741.1,28-09-2018,60
2/1/18,29/06/2018,1130,11/4/18,1000.3,1121.7,351,181432,198241479.6,29-06-2018,54
1/1/18,2/2/18,1095,17/01/2018,992,1040,266,446559,466835003.2,29-03-2018,45
4/1/17,22/12/2017,1005,28/11/2017,934.1,1004.5,357,322800,312582926.3,29-12-2017,51
3/1/17,21/09/2017,1005,7/7/17,949,971,415,264222,257287433.5,29-09-2017,57
2/1/17,17/04/2017,1030,4/4/17,865,990,597,542101,533317363.4,30-06-2017,52
1/1/17,27/03/2017,880,5/1/17,800,870.9,499,282853,236298959.2,31-03-2017,56
4/1/16,25/11/2016,900,27/12/2016,797,806.5,737,1050220,901320084,30-12-2016,60
3/1/16,1/7/16,1050.1,21/09/2016,850,860,1206,1235490,1109050717,30-09-2016,58
2/1/16,18/05/2016,1140,29/06/2016,1000,1050,473,474904,527130894.9,30-06-2016,56
1/1/16,15/02/2016,1042,9/3/16,950,1011.9,538,986314,979592734.7,31-03-2016,53
4/1/15,30/12/2015,1000,29/12/2015,956,992.5,298,681304,677937825.3,31-12-2015,32
