Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020-44,26/10/2020,970,29/10/2020,935,955,84,6894,6496082,29-10-2020,4
2020-43,23/10/2020,969,22/10/2020,943,956.4,145,31126,29422277.7,23-10-2020,5
2020-42,14/10/2020,970,14/10/2020,941,945.3,117,3891,3685410.5,16-10-2020,5
2020-41,6/10/20,969,5/10/20,900,948.8,179,64447,60841270.4,9/10/20,5
2020-40,28/09/2020,972,2/10/20,945,968,181,196805,186038856.3,2/10/20,4
2020-39,25/09/2020,962,21/09/2020,944.4,958.9,166,142356,134920328.7,25-09-2020,5
2020-38,16/09/2020,978,18/09/2020,944.7,945,378,109748,103725997.2,18-09-2020,5
2020-37,9/9/20,970,11/9/20,945,948.2,363,225979,214135870.2,11/9/20,5
2020-36,3/9/20,978,4/9/20,968,968.1,60,3216,3122504.1,4/9/20,4
2020-35,24/08/2020,985,26/08/2020,960,968.3,78,6834,6626689,28-08-2020,5
2020-34,21/08/2020,990,17/08/2020,958,973.8,136,23904,22999186.8,21-08-2020,5
2020-33,11/8/20,980,10/8/20,953,959.6,120,9240,8921874,14-08-2020,5
2020-32,7/8/20,974,7/8/20,950,952.8,94,5750,5471287.6,7/8/20,4
2020-31,30/07/2020,978.9,27/07/2020,945,950.4,106,15160,14409372.5,31-07-2020,5
2020-30,24/07/2020,950,21/07/2020,940,950,108,19573,18441821.3,24-07-2020,5
2020-29,16/07/2020,950,13/07/2020,930,949,90,14270,13441704.5,17-07-2020,5
2020-28,6/7/20,1000,10/7/20,949,950,152,61761,60404528.4,10/7/20,5
2020-27,29/06/2020,970,3/7/20,946,950.2,137,49612,46431459.9,3/7/20,5
2020-26,24/06/2020,990,25/06/2020,955,960,97,5047,4901371.8,26-06-2020,5
2020-25,17/06/2020,1000,18/06/2020,950,970,165,178049,169241754.3,19-06-2020,5
2020-24,10/6/20,1000,8/6/20,947,950.1,132,158065,150531132.7,12/6/20,5
2020-23,2/6/20,948.8,2/6/20,925,930,37,107725,100184475.2,4/6/20,4
2020-22,29/05/2020,950,27/05/2020,900,938.7,57,27808,25836188.6,29-05-2020,4
2020-21,21/05/2020,990,20/05/2020,899.9,905.4,110,48150,43511049.9,22-05-2020,5
2020-20,13/05/2020,980,12/5/20,875,890.3,150,318603,282152057.8,15-05-2020,5
12/1/20,20/03/2020,1000,20/03/2020,990.1,1000,6,54,53733.9,20-03-2020,1
11/1/20,10/3/20,1045,13/03/2020,1000,1000,92,3755,3804646,13-03-2020,4
10/1/20,3/3/20,1100,2/3/20,1002,1048.5,39,4404,4702366.2,6/3/20,4
9/1/20,24/02/2020,1140,28/02/2020,1110,1110,86,230770,256828532.4,28-02-2020,5
8/1/20,20/02/2020,1150.3,17/02/2020,1100.3,1150.2,22,1212,1382147.8,20-02-2020,3
7/1/20,11/2/20,1160,10/2/20,1113,1135.5,77,54500,62653619.1,14-02-2020,5
6/1/20,7/2/20,1160,3/2/20,1100,1150,70,36754,41644942.6,7/2/20,4
5/1/20,28/01/2020,1145,29/01/2020,1080,1100,43,28792,31657282.4,31-01-2020,5
4/1/20,24/01/2020,1149.9,22/01/2020,1060,1100,73,70412,77313765.2,24-01-2020,5
3/1/20,13/01/2020,1139.9,17/01/2020,1060,1076.8,56,62451,68645212.2,17-01-2020,4
2/1/20,9/1/20,1100,9/1/20,1085,1100,56,34388,37807811.7,9/1/20,4
1/1/20,3/1/20,1120,3/1/20,1095,1095,85,43798,48074595.6,3/1/20,2
2019-52,27/12/2019,1125,27/12/2019,1100,1100,37,3748,4150475.2,27-12-2019,3
2019-51,20/12/2019,1149.9,19/12/2019,1075,1106,39,43907,48338331.3,20-12-2019,5
2019-50,9/12/19,1128.9,13/12/2019,1116,1116.9,33,2112,2364937.3,13-12-2019,4
2019-49,5/12/19,1188.9,6/12/19,1111,1120,76,40017,45214511.5,6/12/19,5
2019-48,28/11/2019,1190,26/11/2019,1115,1149.9,61,40427,45371326.9,29-11-2019,5
2019-47,20/11/2019,1239,19/11/2019,1112,1120.1,123,120342,134893757.4,22-11-2019,5
2019-46,13/11/2019,1125,14/11/2019,1105,1119,43,4282,4774536.3,15-11-2019,3
2019-45,8/11/19,1120,5/11/19,1051,1120,120,118038,128094288.3,8/11/19,5
2019-44,31/10/2019,1099.9,31/10/2019,1050,1098.7,126,35008,36811603.8,1/11/19,5
2019-43,21/10/2019,1089.9,23/10/2019,1045.1,1050,159,150755,158292941.2,25-10-2019,5
2019-42,14/10/2019,1105,18/10/2019,1050,1050,110,27674,29121343.2,18-10-2019,5
2019-41,11/10/19,1100,11/10/19,1050,1050,87,29174,30646420.4,11/10/19,5
2019-40,2/10/19,1140,4/10/19,1045,1050,167,445379,473726864.2,4/10/19,5
2019-39,27/09/2019,1150,27/09/2019,1140,1148.4,18,309,354860.5,27-09-2019,4
2019-38,18/09/2019,1200,16/09/2019,1130.1,1150,40,9500,10924157,20-09-2019,5
2019-37,10/9/19,1160,12/9/19,1150,1150,51,16341,18792584.2,12/9/19,3
2019-36,2/9/19,1250,5/9/19,1150,1150.6,89,229841,265851874.7,6/9/19,5
2019-35,29/08/2019,1250,30/08/2019,1200,1215.1,40,5882,7330312.2,30-08-2019,5
2019-34,20/08/2019,1300,21/08/2019,1240.1,1246.2,42,11299,14124789.9,23-08-2019,5
2019-33,15/08/2019,1306,16/08/2019,1202,1207,23,12734,16464057.2,16-08-2019,3
2019-32,9/8/19,1301.1,6/8/19,1282,1300,28,1470,1901168.5,9/8/19,5
2019-31,30/07/2019,1300,30/07/2019,1290,1298.8,19,30063,38782953.7,2/8/19,4
2019-30,26/07/2019,1300,23/07/2019,1200.1,1290,44,13403,17309246.7,26-07-2019,5
2019-29,19/07/2019,1300,15/07/2019,1299,1300,9,633,822897,19-07-2019,3
2019-28,12/7/19,1300,9/7/19,1250,1300,10,166,214421,12/7/19,5
2019-27,4/7/19,1300,3/7/19,1250,1299.6,25,1579,2007667.4,5/7/19,5
2019-26,24/06/2019,1280.5,26/06/2019,1270,1280,17,7227,9249961.1,26-06-2019,3
2019-25,21/06/2019,1300,18/06/2019,1295,1300,16,6864,8892990,21-06-2019,5
2019-24,14/06/2019,1300,12/6/19,1295,1300,9,249,323690.7,14-06-2019,5
2019-23,4/6/19,1300,4/6/19,1300,1300,14,11011,14314300,4/6/19,2
2019-22,29/05/2019,1330,27/05/2019,1280,1300,22,1962,2549950.3,31-05-2019,4
2019-21,21/05/2019,1340,22/05/2019,1280,1295,37,18035,23439724.8,23-05-2019,3
2019-20,14/05/2019,1349.9,15/05/2019,1275,1300,29,1310,1719991.2,17-05-2019,4
2019-19,9/5/19,1389.9,6/5/19,1300,1350,5,104,140290.1,9/5/19,3
2019-18,2/5/19,1399.9,30/04/2019,1299.9,1300.1,19,32483,42229287.4,3/5/19,3
2019-17,23/04/2019,1310,23/04/2019,1250,1260.2,17,1364,1714822.1,26-04-2019,4
2019-16,18/04/2019,1340,18/04/2019,1320,1340,12,59028,79097180,18-04-2019,2
2019-15,8/4/19,1360,10/4/19,1300,1305.5,10,201,262465,10/4/19,2
2019-14,2/4/19,1360,5/4/19,1310,1310,26,1639,2168454.6,5/4/19,5
2019-13,26/03/2019,1390,27/03/2019,1325,1339.9,16,333,446575.6,29-03-2019,4
12/1/19,18/03/2019,1370,22/03/2019,1340,1340,33,133765,179260119.4,22-03-2019,4
11/1/19,15/03/2019,1395,15/03/2019,1370,1370,11,33345,45682900,15-03-2019,1
10/1/19,5/3/19,1420,8/3/19,1395,1395,14,101519,141622575.1,8/3/19,3
9/1/19,28/02/2019,1420,25/02/2019,1360,1419.1,28,32381,45955956.1,1/3/19,5
8/1/19,20/02/2019,1420,21/02/2019,1350,1420,16,105610,151533029.9,22-02-2019,4
7/1/19,15/02/2019,1420,12/2/19,1390,1420,16,92204,130857980,15-02-2019,4
6/1/19,5/2/19,1420,8/2/19,1400,1400,10,339,474660,8/2/19,4
5/1/19,30/01/2019,1430,1/2/19,1400,1430,23,251484,357109788.9,1/2/19,4
4/1/19,21/01/2019,1440,21/01/2019,1400,1430,20,541,768401.4,25-01-2019,4
3/1/19,14/01/2019,1450,18/01/2019,1408,1420,13,724,1023063,18-01-2019,4
2/1/19,9/1/19,1460,11/1/19,1409,1410.2,35,11756,16789702.1,11/1/19,5
1/1/19,2/1/19,1499,31/12/2019,1100,1100.3,35,2457,2805811.3,31-12-2019,5
2018-52,28/12/2018,1450,28/12/2018,1400,1401.6,14,379,532216,28-12-2018,3
2018-51,19/12/2018,1500,20/12/2018,1424,1424,26,180060,256150394,21-12-2018,5
2018-50,14/12/2018,1449.9,11/12/18,1415,1435,20,353,504455.4,14-12-2018,5
2018-49,7/12/18,1439.9,5/12/18,1400.6,1439.9,14,15709,22223468.6,7/12/18,3
2018-48,30/11/2018,1420,30/11/2018,1400,1409.9,23,2942,4135953.7,30-11-2018,5
2018-47,19/11/2018,1430,23/11/2018,1400,1400.2,21,2424,3397127,23-11-2018,3
2018-46,13/11/2018,1426,16/11/2018,1400,1401.1,22,277805,388958520.2,16-11-2018,5
2018-45,9/11/18,1420,5/11/18,1385.1,1416.5,21,21749,30451396.5,9/11/18,4
2018-44,1/11/18,1410,29/10/2018,1370,1385.8,19,296,410765.5,2/11/18,5
2018-43,25/10/2018,1425,25/10/2018,1380,1385.8,30,7486,10367497,25-10-2018,3
2018-42,17/10/2018,1410,15/10/2018,1365,1380.2,32,1887,2600867.8,19-10-2018,5
2018-41,12/10/18,1379.9,10/10/18,1370,1375.2,17,30632,41489445.6,12/10/18,4
2018-40,4/10/18,1375,4/10/18,1350,1374.7,37,11494,15747679.2,5/10/18,5
2018-39,28/09/2018,1360,25/09/2018,1355,1358,10,472,640352.6,28-09-2018,3
2018-38,21/09/2018,1375,17/09/2018,1250.2,1375,43,19242,26380844.3,21-09-2018,5
2018-37,10/9/18,1351,14/09/2018,1250,1326,31,43563,58175150,14-09-2018,5
2018-36,5/9/18,1385,3/9/18,1340,1350.3,43,17182,23197653.2,6/9/18,4
2018-35,31/08/2018,1339,28/08/2018,1299,1339,33,34410,45669042.5,31-08-2018,5
2018-34,24/08/2018,1342,20/08/2018,1240,1325,76,119674,156344107.8,24-08-2018,4
2018-33,17/08/2018,1290,15/08/2018,1240,1251.9,86,42331,53829156.9,17-08-2018,5
2018-32,10/8/18,1270,6/8/18,1200,1230,43,82082,100486763.8,10/8/18,5
2018-31,2/8/18,1225,30/07/2018,1160,1202.7,62,19221,22971133.3,3/8/18,5
2018-30,26/07/2018,1165,23/07/2018,1131,1160,30,11541,13364790.2,26-07-2018,4
2018-29,19/07/2018,1155,16/07/2018,1130,1150.8,33,26978,30923473.8,20-07-2018,5
2018-28,13/07/2018,1155,10/7/18,1120,1149.4,21,10924,12350004.5,13-07-2018,5
2018-27,6/7/18,1149,5/7/18,1100,1113.9,27,4184,4641268.2,6/7/18,5
2018-26,29/06/2018,1130,28/06/2018,1110,1121.7,34,30488,34125058.6,29-06-2018,4
2018-25,22/06/2018,1120,20/06/2018,1100,1111.5,43,40627,45900609.3,22-06-2018,5
2018-24,12/6/18,1120,11/6/18,1088,1118.7,25,37137,41400184.3,14-06-2018,3
2018-23,8/6/18,1105,4/6/18,1070,1100,30,838,914312.5,8/6/18,5
2018-22,30/05/2018,1098.9,28/05/2018,1061,1070,30,20918,22541463.2,1/6/18,4
2018-21,22/05/2018,1075,24/05/2018,1050,1064,44,8700,9192576.3,25-05-2018,5
2018-20,18/05/2018,1060,15/05/2018,1048,1060,31,611,646373.1,18-05-2018,5
2018-19,8/5/18,1050,9/5/18,1025.1,1026.1,11,359,369485.6,11/5/18,4
2018-18,4/5/18,1050,4/5/18,1021,1022.9,6,23435,23994866,4/5/18,3
2018-17,23/04/2018,1058,26/04/2018,1020,1020,23,1700,1746295.4,26-04-2018,3
2018-16,18/04/2018,1080,16/04/2018,1011,1036,21,1870,1958476.8,19-04-2018,4
2018-15,12/4/18,1050,11/4/18,1000.3,1050,32,11321,11881343.1,12/4/18,4
2018-14,6/4/18,1050,3/4/18,1040,1050,21,3428,3570435.4,6/4/18,5
2018-13,26/03/2018,1069.9,29/03/2018,1040,1040,13,3783,3934369.9,29-03-2018,4
12/1/18,22/03/2018,1050,20/03/2018,1000,1040,24,12732,12820778.2,22-03-2018,4
11/1/18,14/03/2018,1055,16/03/2018,1000,1000,12,8337,8342076,16-03-2018,3
10/1/18,5/3/18,1069,6/3/18,1050,1060,20,13652,14374868.8,8/3/18,4
9/1/18,28/02/2018,1060,27/02/2018,1027.2,1053.9,30,30289,31895319,28-02-2018,3
8/1/18,21/02/2018,1065,22/02/2018,1027,1050,10,9063,9515913.9,23-02-2018,4
7/1/18,15/02/2018,1085,15/02/2018,1049.8,1080,11,28929,31476765,16-02-2018,3
6/1/18,9/2/18,1050,6/2/18,1041,1089.8,4,28,29373,9/2/18,2
5/1/18,2/2/18,1095,29/01/2018,1050,1089.8,17,39212,42626607.8,2/2/18,3
4/1/18,26/01/2018,1080,22/01/2018,1029.8,1079.7,47,83928,87828254.5,26-01-2018,5
3/1/18,19/01/2018,1030,17/01/2018,992,1029.2,18,104997,108127914.3,19-01-2018,3
2/1/18,8/1/18,1059.9,8/1/18,1003.1,1030,11,83715,86226726.9,10/1/18,3
1/1/18,31/12/2018,1450,4/1/18,1000,1415,57,28894,31049040,31-12-2018,5
2017-52,27/12/2017,980,29/12/2017,960.1,1004.5,6,41,39760,29-12-2017,3
2017-51,22/12/2017,1005,20/12/2017,975,1004.5,62,29801,29788973.3,22-12-2017,4
2017-50,14/12/2017,994.9,14/12/2017,961,986.5,13,2202,2131452.1,15-12-2017,4
2017-49,4/12/17,974.9,8/12/17,958,961.1,23,105365,101149627.7,8/12/17,4
2017-48,27/11/2017,960.1,28/11/2017,934.1,950,33,15568,14793845.5,30-11-2017,4
2017-47,20/11/2017,984,23/11/2017,940,940.4,87,53463,50833538.7,24-11-2017,5
2017-46,16/11/2017,990,13/11/2017,950,989.4,18,20741,19916217.8,17-11-2017,5
2017-45,6/11/17,994,9/11/17,950.1,950.6,26,51662,50021506.8,10/11/17,5
2017-44,31/10/2017,996,30/10/2017,975,990,12,791,775722,2/11/17,3
2017-43,26/10/2017,1000,27/10/2017,971,1000,13,8055,8051673.5,27-10-2017,4
2017-42,20/10/2017,1000,17/10/2017,976,1000,34,15153,15147466.9,20-10-2017,3
2017-41,13/10/2017,996,9/10/17,975,971,3,96,93636,13-10-2017,3
2017-40,3/10/17,1000,4/10/17,971,971,27,19862,19839506,6/10/17,4
