Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/20,2/10/20,11.3,6/10/20,10.6,10.8,3121,42957966,469076282.9,29-10-2020,20
3/1/20,7/8/20,11.8,13/07/2020,10.1,11.2,9526,129724256,1451311588,30-09-2020,64
2/1/20,25/06/2020,12.2,12/5/20,7.9,11.6,8466,90451603,916942261.4,30-06-2020,35
1/1/20,17/02/2020,12.9,20/03/2020,8.4,8.5,3181,35951620,431633619.3,20-03-2020,48
4/1/19,29/11/2019,14,4/10/19,10.4,12.3,5479,365242976,4444336623,31-12-2019,62
3/1/19,30/07/2019,11.3,4/7/19,8.9,10.6,5809,161859058,1685873695,30-09-2019,62
2/1/19,4/4/19,9.7,9/5/19,8.6,9,3783,142760551,1290454279,28-06-2019,59
1/1/19,3/1/19,10.3,26/03/2019,9,9.1,2992,47649706,451734601.3,29-03-2019,58
4/1/18,30/10/2018,12.3,20/12/2018,9.9,10.1,4718,68076898,753695619.5,31-12-2018,61
3/1/18,9/8/18,14.5,26/09/2018,11.6,11.9,2434,38480135,499493800.4,28-09-2018,62
2/1/18,8/5/18,14.8,4/4/18,13.6,14.2,1756,57448654,817905564.3,29-06-2018,59
1/1/18,14/03/2018,14,2/1/18,12.8,13.8,1520,53621641,731526502.7,29-03-2018,58
4/1/17,9/11/17,13.6,11/10/17,12,13,1634,179708591,2371677861,29-12-2017,60
3/1/17,29/09/2017,12.2,24/08/2017,11.1,12.1,1112,69335375,818943024.3,29-09-2017,62
2/1/17,9/5/17,12.3,3/4/17,11.1,12,1642,123564721,1475738527,30-06-2017,57
1/1/17,31/01/2017,11.6,7/2/17,10.4,11.3,1329,109536779,1232505152,31-03-2017,62
4/1/16,10/10/16,11.8,29/11/2016,10.1,10.5,1398,120050044,1298337158,30-12-2016,61
3/1/16,30/09/2016,11.6,7/7/16,10.4,11.6,1587,122016378,1351923146,30-09-2016,60
2/1/16,20/05/2016,11.5,6/4/16,10.1,10.4,1637,72583901,810653701.4,30-06-2016,60
1/1/16,4/1/16,10.9,9/3/16,9.7,10.2,1709,99228152,1030087274,31-03-2016,58
4/1/15,4/11/15,11.4,31/12/2015,10.5,10.7,1388,85552801,926849100.9,31-12-2015,40
