Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
10/1/20,2/10/20,19.2,6/10/20,16.2,17.4,1194,4255325,75382557.2,29-10-2020,20
9/1/20,17/09/2020,19.9,7/9/20,15.1,18.8,2491,12223624,219607599.8,30-09-2020,21
8/1/20,24/08/2020,16.9,13/08/2020,14.2,15.7,1483,6207162,96544601.8,31-08-2020,20
7/1/20,1/7/20,15,13/07/2020,13.3,14.5,1482,7825440,110278436.5,31-07-2020,23
6/1/20,1/6/20,15.5,11/6/20,13.9,15,1357,3758659,54536122.3,30-06-2020,21
5/1/20,28/05/2020,15.8,12/5/20,11.9,15.6,814,11862398,148370296.7,29-05-2020,14
3/1/20,2/3/20,17.4,20/03/2020,12.8,13,335,4127811,61217858.6,20-03-2020,10
2/1/20,7/2/20,18,28/02/2020,16.8,16.9,225,179085,3086252.7,28-02-2020,18
1/1/20,3/1/20,18.8,8/1/20,16.7,17.5,576,1746276,30334126.4,31-01-2020,20
12/1/19,3/12/19,19.9,23/12/2019,18,18.5,470,880417,16608136.3,31-12-2019,20
11/1/19,20/11/2019,20.5,8/11/19,17.1,18.8,1473,4354137,83655444,29-11-2019,19
10/1/19,29/10/2019,17.8,8/10/19,15.7,17.5,701,6116520,101598586.1,31-10-2019,23
9/1/19,12/9/19,17,25/09/2019,15.8,16,273,984463,16013806,30-09-2019,20
8/1/19,15/08/2019,17.5,5/8/19,16.4,16.6,361,2209245,36715314,30-08-2019,20
7/1/19,29/07/2019,17.5,2/7/19,15.3,17,867,3484836,58700793.9,31-07-2019,22
6/1/19,19/06/2019,16,10/6/19,14,15.8,281,4554364,66355816.9,28-06-2019,19
5/1/19,2/5/19,14.9,15/05/2019,13.5,14.3,188,871864,12318367.1,31-05-2019,20
4/1/19,3/4/19,15.5,23/04/2019,14,14.5,119,331417,4797674,30-04-2019,19
3/1/19,5/3/19,15.9,12/3/19,14.3,14.5,199,18057876,261880935.8,29-03-2019,19
2/1/19,7/2/19,16.3,27/02/2019,15.1,15.5,202,917885,14183133.6,28-02-2019,18
1/1/19,8/1/19,16.9,30/01/2019,15.8,16.3,237,193990,3150907.7,31-01-2019,21
12/1/18,4/12/18,17.4,19/12/2018,15.8,16.1,219,2505342,40059165.2,31-12-2018,19
11/1/18,2/11/18,19.2,14/11/2018,16.4,16.9,394,1884553,32018371.6,30-11-2018,19
10/1/18,30/10/2018,18.4,1/10/18,16,18,390,931155,16039751.1,31-10-2018,21
9/1/18,3/9/18,19.9,26/09/2018,16.2,16.7,732,5693658,98382754.7,28-09-2018,19
8/1/18,24/08/2018,21.5,30/08/2018,19.4,19.5,328,1459105,29684148.5,31-08-2018,22
7/1/18,5/7/18,23,4/7/18,20,20.4,406,3823105,78634542.1,31-07-2018,21
6/1/18,7/6/18,22.5,20/06/2018,20,20.9,328,2990974,64066354.9,29-06-2018,19
5/1/18,24/05/2018,23.2,10/5/18,20.6,21.5,999,14531177,308401253.2,31-05-2018,21
4/1/18,3/4/18,35,11/4/18,18.9,22,3847,6409537,152228247,27-04-2018,18
9/1/16,2/9/16,270,21/09/2016,235.6,237.1,979,5830873,1441345072,30-09-2016,20
8/1/16,3/8/16,294,1/8/16,240,267,1515,3850485,1037668467,31-08-2016,22
7/1/16,28/07/2016,246,4/7/16,208,240.1,541,1115838,256513961.8,29-07-2016,18
6/1/16,1/6/16,219,29/06/2016,205,207.1,250,1552401,325543379.1,30-06-2016,22
5/1/16,4/5/16,225,11/5/16,214.9,215,505,4665221,1006610802,31-05-2016,20
4/1/16,29/04/2016,225,1/4/16,206,216.1,356,2111140,450713344.7,29-04-2016,18
3/1/16,3/3/16,220,30/03/2016,205,206.2,165,842464,183293477.2,30-03-2016,19
2/1/16,2/2/16,227,17/02/2016,210.1,215,142,581108,124955881.6,29-02-2016,19
1/1/16,6/1/16,245.9,18/01/2016,205.1,217.9,332,1094548,243828061.5,29-01-2016,18
12/1/15,2/12/15,271,4/12/15,240,246,237,417535,108325496.5,31-12-2015,21
11/1/15,6/11/15,285,27/11/2015,270,271,213,906282,250572777.1,27-11-2015,18
