Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/20,2/10/20,19.2,6/10/20,16.2,17.4,1194,4255325,75382557.2,29-10-2020,20
3/1/20,17/09/2020,19.9,13/07/2020,13.3,18.8,5456,26256226,426430638.1,30-09-2020,64
2/1/20,28/05/2020,15.8,12/5/20,11.9,15,2171,15621057,202906419,30-06-2020,35
1/1/20,3/1/20,18.8,20/03/2020,12.8,13,1136,6053172,94638237.7,20-03-2020,48
4/1/19,20/11/2019,20.5,8/10/19,15.7,18.5,2644,11351074,201862166.4,31-12-2019,62
3/1/19,15/08/2019,17.5,2/7/19,15.3,16,1501,6678544,111429913.9,30-09-2019,62
2/1/19,19/06/2019,16,15/05/2019,13.5,15.8,588,5757645,83471858,28-06-2019,58
1/1/19,8/1/19,16.9,12/3/19,14.3,14.5,638,19169751,279214977.1,29-03-2019,58
4/1/18,2/11/18,19.2,19/12/2018,15.8,16.1,1003,5321050,88117287.9,31-12-2018,59
3/1/18,5/7/18,23,26/09/2018,16.2,16.7,1466,10975868,206701445.3,28-09-2018,62
2/1/18,3/4/18,35,11/4/18,18.9,20.9,5174,23931688,524695855.1,29-06-2018,58
3/1/16,3/8/16,294,4/7/16,208,237.1,3035,10797196,2735527501,30-09-2016,60
2/1/16,4/5/16,225,29/06/2016,205,207.1,1111,8328762,1782867526,30-06-2016,60
1/1/16,6/1/16,245.9,30/03/2016,205,206.2,639,2518120,552077420.3,30-03-2016,56
4/1/15,6/11/15,285,4/12/15,240,246,450,1323817,358898273.6,31-12-2015,39
