Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2020-44,26/10/2020,17.9,29/10/2020,17,17.4,145,205240,3562240.5,29-10-2020,4
2020-43,19/10/2020,18.4,22/10/2020,17,17.8,242,911911,16104887.3,23-10-2020,5
2020-42,16/10/2020,18.5,14/10/2020,17.6,18.4,274,1504302,27102559.8,16-10-2020,5
2020-41,6/10/20,19,6/10/20,16.2,18,491,1400872,24179576.9,9/10/20,5
2020-40,2/10/20,19.2,30/09/2020,18.6,19.1,158,505339,9598634.4,2/10/20,4
2020-39,25/09/2020,19.2,21/09/2020,17.9,19,516,2484915,46407439.3,25-09-2020,5
2020-38,17/09/2020,19.9,15/09/2020,16.4,18.6,1380,7865735,142683442.7,18-09-2020,5
2020-37,11/9/20,16.5,7/9/20,15.1,16.3,333,1225836,19504158.9,11/9/20,5
2020-36,2/9/20,16,4/9/20,15.3,15.4,209,959057,15024228.6,4/9/20,4
2020-35,24/08/2020,16.9,24/08/2020,15.3,15.9,770,3677374,58843976.1,28-08-2020,5
2020-34,21/08/2020,15.6,18/08/2020,14.3,15.3,268,1011455,14972775.5,21-08-2020,5
2020-33,14/08/2020,14.6,13/08/2020,14.2,14.5,182,478639,6907575,14-08-2020,5
2020-32,7/8/20,14.9,6/8/20,14.4,14.5,200,455436,6643263.8,7/8/20,4
2020-31,28/07/2020,14.8,27/07/2020,14,14.5,389,2905500,41270712.9,31-07-2020,5
2020-30,24/07/2020,14.4,24/07/2020,13.9,14,344,2635606,36895106.5,24-07-2020,5
2020-29,14/07/2020,14.1,13/07/2020,13.3,14,420,1762002,24495389.5,17-07-2020,5
2020-28,7/7/20,14.9,10/7/20,14.1,14.1,196,262040,3782806.6,10/7/20,5
2020-27,30/06/2020,15.2,3/7/20,14.3,14.5,208,358957,5312838,3/7/20,5
2020-26,26/06/2020,15,22/06/2020,14.3,15,440,1499891,22037311.1,26-06-2020,5
2020-25,19/06/2020,14.8,17/06/2020,14,14.7,292,947342,13536398.8,19-06-2020,5
2020-24,10/6/20,15.2,11/6/20,13.9,14.3,373,839323,12014468.4,12/6/20,5
2020-23,1/6/20,15.5,4/6/20,14.1,14.5,177,373438,5469527,4/6/20,4
