Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/29/20,130.5,131.9,129.1,130.9,131,1725318,225131321.4
10/28/20,130,132.2,130,130.5,214,213905,28044670.6
10/27/20,128.5,131.3,128.5,130.1,99,48591,6316771.1
10/26/20,129,130,128,129,227,257327,33212610.8
10/23/20,131.7,135,131.5,132,85,46685,6168667.9
10/22/20,130,132.1,127,131.5,254,1094114,143146395.6
10/21/20,135.5,136.5,131.4,132.6,535,1996835,267844135.1
10/20/20,135,136.6,135,136,253,1522668,206645173.6
10/19/20,133,135.9,133,135.2,306,994167,133956826.4
10/16/20,133.5,133.9,132,132.8,95,660514,87822671.7
10/15/20,132.9,134.5,132,134,119,189637,25360474.3
10/14/20,129,133.1,128.5,131.9,190,5406793,713057064.1
10/13/20,132,132,128,129.6,239,177338,23062379.3
10/12/20,131.1,132,130.9,131,148,74044,9701449.7
10/9/20,132,133,131.1,132.2,227,390911,51663452.9
10/8/20,130,132,129.6,131,210,7306933,958387664.9
10/7/20,129,130.2,128,130,363,14524697,1887230452
10/6/20,125,130.5,125,129.9,620,1492466,192912013.9
10/5/20,129.9,132,124,130.6,814,3101235,402505348.1
10/2/20,134.1,134.5,132.8,134,259,2143604,287237257.8
9/30/20,135.4,136,134.1,134.6,239,418553,56413275.4
9/29/20,137.2,137.2,135.2,135.9,263,410717,55907517.5
9/28/20,136.9,137.9,136.9,137.4,229,411615,56424349.2
9/25/20,136.1,136.8,135.7,135.9,157,1963861,267083682.4
9/24/20,138,138,135.9,136.1,183,411513,56269704.9
9/23/20,137,138,136,137.6,226,337647,46281280.8
9/22/20,137.5,138,136,136.4,223,947030,129339208.3
9/21/20,137.9,137.9,136,137.1,266,237286,32549853.3
9/18/20,137.4,138,137,137.9,281,1884601,258534052.2
9/17/20,136.1,137.3,136,137,238,367661,50301243.3
9/16/20,137.4,137.4,136,136,260,1527790,207921698.7
9/15/20,136,137.2,135,136.8,226,6455750,872289504.2
9/14/20,136,137.5,135,135.8,377,461492,63152990.3
9/11/20,136,136.7,135.3,135.9,248,1078831,146643273.7
9/10/20,135.5,136.4,135.1,135.9,300,4408621,596038579.6
9/9/20,133.5,135.2,133.5,135,416,13042505,1743813392
9/8/20,132.5,133.8,132.3,133,173,3133529,416894072.3
9/7/20,132,133.5,132,133,168,137876,18339581.2
9/4/20,134.1,134.1,132,132.9,218,302455,40120373.9
9/3/20,134.5,134.5,133.4,134.1,166,102638,13748553
9/2/20,136,136.3,134.5,135,229,4384316,591971909.1
8/31/20,134.1,136.5,131,135.6,393,1252496,169146962.5
8/28/20,133,134.7,133,134,165,438084,58837808.7
8/27/20,133.5,133.5,132.6,133.1,331,2540387,338018651.3
8/26/20,133,134.5,132.5,133.5,361,992279,132200281.1
8/25/20,134.5,134.8,131,133,363,2849976,379044270.5
8/24/20,134.5,136.1,134.4,134.5,569,2687334,363047102.9
8/21/20,133.4,135,132.5,134.9,627,4494681,605034640.7
8/20/20,134.4,134.9,130.5,133.3,592,1022527,135527962.7
8/19/20,130,134.5,130,134.1,1060,5024117,659988581
8/18/20,128.5,131,128.5,129.6,848,2298445,297801718.9
8/17/20,125,128.1,125,127.5,970,2659245,336004411.6
8/14/20,120,125,119.5,124.5,808,5011753,621245978
8/13/20,120,121.9,119.2,119.5,590,4385670,529036626.1
8/12/20,117,120.5,116,119.2,631,3083822,361765713.4
