Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
10/1/20,20/10/2020,136.6,5/10/20,124,130.9,5388,43367782,5689406801,29-10-2020,20
9/1/20,24/09/2020,138,7/9/20,132,134.6,5086,42426287,5720038096,30-09-2020,21
8/1/20,31/08/2020,136.5,4/8/20,111.5,135.6,10518,50581660,6345144484,31-08-2020,20
7/1/20,1/7/20,123,13/07/2020,104,110.8,17000,39703825,4490479624,31-07-2020,23
6/1/20,25/06/2020,132,1/6/20,106.1,122.5,9045,25132775,2921048762,30-06-2020,21
5/1/20,29/05/2020,117.5,15/05/2020,79.9,110.1,11881,46185641,4543127672,29-05-2020,14
3/1/20,5/3/20,150,20/03/2020,113.9,115.4,3051,8964609,1193018589,20-03-2020,10
2/1/20,3/2/20,162.1,28/02/2020,145,146,1989,5975563,927799966.8,28-02-2020,18
1/1/20,22/01/2020,168.8,28/01/2020,160.5,162.1,1599,151725042,24309808485,31-01-2020,20
12/1/19,3/12/19,170.4,10/12/19,160,167.6,1688,11825952,1949637622,31-12-2019,20
11/1/19,29/11/2019,172,6/11/19,153,169,2577,35031673,5486216037,29-11-2019,19
10/1/19,22/10/2019,160,3/10/19,151,157,1170,12617153,1968855148,31-10-2019,22
9/1/19,30/09/2019,156.5,20/09/2019,150,153.8,1137,11915420,1819095977,30-09-2019,20
8/1/19,28/08/2019,158.8,7/8/19,145.5,153.2,2030,27034870,4059811525,30-08-2019,20
7/1/19,25/07/2019,154.9,10/7/19,139,151,2147,16635117,2457211911,31-07-2019,22
6/1/19,19/06/2019,141.5,3/6/19,135.6,138.7,849,3562646,495524333.8,28-06-2019,19
5/1/19,2/5/19,149.8,14/05/2019,134.8,137.3,2538,22950080,3135353877,31-05-2019,21
4/1/19,1/4/19,156,25/04/2019,139.9,149.7,1554,24194862,3508819275,30-04-2019,19
3/1/19,1/3/19,159,26/03/2019,148.3,156,1050,16636388,2581518611,29-03-2019,19
2/1/19,28/02/2019,159.5,15/02/2019,152.7,159.5,1009,30100456,4688129947,28-02-2019,18
1/1/19,29/01/2019,159.6,24/01/2019,152,157.9,818,25980544,3994283685,31-01-2019,21
12/1/18,7/12/18,161.9,26/12/2018,150.2,159.7,1377,38792846,6204478954,31-12-2018,20
11/1/18,30/11/2018,161,8/11/18,141,160.5,3989,53481582,8058248490,30-11-2018,19
10/1/18,31/10/2018,151.5,16/10/2018,126,149.7,3433,58017151,7878631981,31-10-2018,22
9/1/18,5/9/18,141,21/09/2018,127,131.5,2317,19638130,2603214170,28-09-2018,19
8/1/18,10/8/18,145.9,7/8/18,136,140,3091,30482512,4228707024,31-08-2018,22
7/1/18,20/07/2018,149.8,4/7/18,137.8,139.7,2979,12916190,1844150599,31-07-2018,21
6/1/18,5/6/18,159.9,28/06/2018,147,147.5,1643,19332928,2943444426,29-06-2018,19
5/1/18,1/5/18,164.5,10/5/18,135,150,2233,28111889,4359219661,31-05-2018,21
4/1/18,26/04/2018,164.8,9/4/18,157.6,164.5,843,7700190,1245915146,27-04-2018,19
3/1/18,5/3/18,164.9,21/03/2018,157.5,159.6,1040,14677564,2369511131,29-03-2018,20
2/1/18,2/2/18,164.9,14/02/2018,155,160.2,975,8613009,1371473313,28-02-2018,18
1/1/18,8/1/18,167,2/1/18,148.5,164.8,2817,24884474,4037750655,30-01-2018,20
12/1/17,5/12/17,155.3,14/12/2017,145,148.5,1722,15163327,2274413414,29-12-2017,19
