Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/25,3/11/25,207.5,1/10/25,193,207.25,8128,53893680,10601824422,3/11/25,22
3/1/25,21/08/2025,199.25,8/7/25,156.5,192.75,22112,56874308,10276783587,30-09-2025,63
2/1/25,30/06/2025,159.5,7/4/25,120,159,18499,51008753,7278890167,30-06-2025,58
1/1/25,21/02/2025,152.25,7/1/25,135,147.5,17179,58307283,8556171955,28-03-2025,56
4/1/24,31/12/2024,145.75,1/10/24,99.6,144.75,24091,85276535,10602842375,31-12-2024,62
3/1/24,1/7/24,106.25,12/9/24,78,101.25,18782,44235411,3977845548,30-09-2024,63
2/1/24,15/05/2024,117.5,1/4/24,91.8,105,13335,61830640,6725438111,28-06-2024,58
1/1/24,28/03/2024,98.6,31/01/2024,86,97.7,5354,16384618,1502239357,28-03-2024,58
4/1/23,29/12/2023,95.6,19/10/2023,80,95.5,8175,13285219,1168926836,29-12-2023,63
3/1/23,10/8/23,107.5,4/7/23,75.5,90.2,19843,57576138,5091422548,27-09-2023,60
2/1/23,26/06/2023,69.9,3/5/23,52.1,68.1,5998,12009677,747247065.6,28-06-2023,57
1/1/23,8/3/23,71.9,2/1/23,50,63.6,8079,11895365,772525898.3,31-03-2023,62
4/1/22,3/10/22,55.5,8/11/22,48.7,50.2,4246,36314345,1819009340,30-12-2022,60
3/1/22,15/09/2022,59.9,5/7/22,49.6,55,5304,23084314,1231540222,30-09-2022,64
2/1/22,4/4/22,64.8,28/06/2022,50,50.6,5944,33566358,1706580820,30-06-2022,49
1/1/22,24/01/2022,85,31/03/2022,61,62.7,9777,21467217,1713168640,31-03-2022,58
4/1/21,7/10/21,91.2,23/12/2021,76.9,79.3,12696,51402649,4195858904,31-12-2021,62
3/1/21,26/08/2021,89.6,13/09/2021,82,84.5,10010,30282780,2596667308,30-09-2021,63
2/1/21,7/6/21,92.3,4/5/21,79,88,11291,36142361,3093257748,30-06-2021,57
1/1/21,29/01/2021,105,11/2/21,80,85.5,24757,70024790,6358453934,31-03-2021,58
4/1/20,8/12/20,85.2,2/11/20,72.8,80.9,11277,25347589,1996420255,31-12-2020,42
