Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025-44,29/10/2025,29.3,29/10/2025,28.5,29,939,7145228,207105168.7,31-10-2025,5
2025-43,22/10/2025,29.2,24/10/2025,28.4,29,783,1964233,56960452.2,24-10-2025,4
2025-42,15/10/2025,30,13/10/2025,27.3,29,2083,17377420,514600009.8,17-10-2025,5
2025-41,10/10/25,27.7,8/10/25,26.7,27.5,773,7040684,191625160.6,10/10/25,4
2025-40,30/09/2025,27.7,29/09/2025,26.7,27.1,1066,6521514,176710628.2,3/10/25,5
2025-39,26/09/2025,27,22/09/2025,25.3,26.8,877,4457785,115976404.3,26-09-2025,5
2025-38,16/09/2025,26.2,18/09/2025,25,25.6,842,2105387,53851165.3,19-09-2025,5
2025-37,8/9/25,26.7,12/9/25,25.2,25.7,1016,4469165,116972261.5,12/9/25,5
2025-36,2/9/25,27.4,4/9/25,26.2,26.4,1074,8133262,216726497.3,4/9/25,4
2025-35,29/08/2025,28.9,26/08/2025,23,26.1,1995,13171636,333102238.9,29-08-2025,5
2025-34,21/08/2025,25,19/08/2025,21.2,23.5,1506,12451805,280800355.3,22-08-2025,5
2025-33,15/08/2025,21.6,11/8/25,19.4,21.5,1686,9725142,201546444.4,15-08-2025,5
2025-32,4/8/25,19.4,7/8/25,19.1,19.3,425,2802746,53776454.7,7/8/25,4
2025-31,1/8/25,19.4,31/07/2025,19.1,19.3,473,2356534,45254765,1/8/25,5
2025-30,23/07/2025,19.5,25/07/2025,19.1,19.1,616,6830513,130822090,25-07-2025,5
2025-29,15/07/2025,19.5,18/07/2025,19.1,19.2,675,23525396,449592156.9,18-07-2025,5
2025-28,7/7/25,19.4,11/7/25,19,19.1,525,3294351,62944883.4,11/7/25,4
2025-27,3/7/25,19.4,4/7/25,19.1,19.2,862,12599801,241563938.9,4/7/25,5
2025-26,27/06/2025,19.2,23/06/2025,18.6,19.1,982,15431804,293418649,27-06-2025,5
2025-25,20/06/2025,19.3,16/06/2025,18.4,19,1280,11664611,220572727.4,20-06-2025,5
2025-24,13/06/2025,19.3,9/6/25,18.3,19.2,1662,16570511,311023100.6,13-06-2025,4
2025-23,3/6/25,18.8,2/6/25,17.6,18.2,1808,10926958,198757776.9,6/6/25,5
2025-22,30/05/2025,17.8,26/05/2025,16.7,17.7,1881,63489964,1090812930,30-05-2025,5
2025-21,23/05/2025,16.7,19/05/2025,15,16.6,1829,51234874,827472765.9,23-05-2025,5
2025-20,16/05/2025,15.3,14/05/2025,14.4,15.1,674,17030965,252156366.1,16-05-2025,3
2025-19,7/5/25,14.7,7/5/25,14.3,14.5,649,13375020,193872289.1,9/5/25,5
2025-18,2/5/25,14.5,2/5/25,14.1,14.4,450,4110847,58556356.8,2/5/25,4
2025-17,25/04/2025,14.2,21/04/2025,13.5,14,452,2867065,40070514.7,25-04-2025,5
2025-16,16/04/2025,13.8,17/04/2025,13.5,13.6,337,1036262,14092595,17-04-2025,2
2025-15,10/4/25,14,7/4/25,13.1,13.8,769,3286606,44861267.8,11/4/25,5
2025-14,2/4/25,14.6,4/4/25,13,13.7,702,6379035,90312246.4,4/4/25,4
2025-13,28/03/2025,14.6,28/03/2025,14,14.3,769,8619395,124164210.8,28-03-2025,5
12/1/25,21/03/2025,14.1,17/03/2025,13.5,14,554,5355408,74084724.5,21-03-2025,5
11/1/25,14/03/2025,14,12/3/25,13.6,13.9,365,2108155,29091258.4,14-03-2025,4
10/1/25,7/3/25,14,4/3/25,13.5,13.9,767,14516104,197799246.9,7/3/25,5
9/1/25,24/02/2025,13.9,27/02/2025,13.5,13.7,687,7632580,103745627.4,28-02-2025,4
8/1/25,17/02/2025,14.4,21/02/2025,13.6,13.8,1335,74864851,1048109604,21-02-2025,5
7/1/25,14/02/2025,13.6,11/2/25,13.1,13.6,605,16546879,221106277.1,14-02-2025,4
6/1/25,3/2/25,13.9,6/2/25,12.8,13.2,851,8829561,115416455.2,7/2/25,4
5/1/25,31/01/2025,14,28/01/2025,13.2,13.8,1132,24280985,335725969.9,31-01-2025,5
4/1/25,21/01/2025,13.7,20/01/2025,12.8,13.2,1698,33900920,452562757.9,24-01-2025,5
3/1/25,17/01/2025,13,15/01/2025,11.6,12.9,1575,36995883,461656396.7,17-01-2025,3
2/1/25,6/1/25,12,7/1/25,11.4,11.7,859,7220637,84607805.9,10/1/25,5
1/1/25,3/1/25,12.1,2/1/25,11.6,11.8,847,20167672,239994524.4,3/1/25,2
2024-52,27/12/2024,11.6,23/12/2024,11.1,11.5,910,12489575,141882245.2,27-12-2024,4
2024-51,20/12/2024,11.4,18/12/2024,11,11.3,980,17243403,192770988.3,20-12-2024,5
2024-50,13/12/2024,11.2,9/12/24,10.5,11.1,1139,44595919,481608757.2,13-12-2024,5
2024-49,5/12/24,10.8,3/12/24,10.3,10.5,679,4782337,50561881.8,6/12/24,5
2024-48,29/11/2024,10.5,25/11/2024,10.2,10.4,577,1784232,18462372.6,29-11-2024,5
2024-47,18/11/2024,10.9,21/11/2024,10.2,10.6,820,5349818,56355331.4,22-11-2024,5
2024-46,11/11/24,11,14/11/2024,10.6,10.6,454,3185164,34196477.6,14-11-2024,4
2024-45,4/11/24,11,6/11/24,10.4,10.7,732,7721191,81770865.1,8/11/24,5
2024-44,30/10/2024,11.1,30/10/2024,10.7,10.9,705,9500159,103594634.2,1/11/24,4
2024-43,21/10/2024,11.3,25/10/2024,10.9,10.9,1341,29847078,331021960.9,25-10-2024,5
2024-42,18/10/2024,11.1,15/10/2024,10,10.9,1495,57176806,603557373.6,18-10-2024,4
2024-41,11/10/24,10.1,7/10/24,9.3,10.1,1001,10439573,102565646.7,11/10/24,5
2024-40,30/09/2024,9.7,4/10/24,9.3,9.4,695,22440863,209834485.3,4/10/24,5
2024-39,26/09/2024,9.6,23/09/2024,8.6,9.4,1307,12599653,116210690.1,27-09-2024,5
2024-38,20/09/2024,8.9,19/09/2024,8.6,8.8,803,5817652,50812563.8,20-09-2024,3
2024-37,13/09/2024,8.7,10/9/24,8.4,8.7,1090,6830149,58680145.7,13-09-2024,5
