Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/25,8/10/25,67.5,1/10/25,55.8,62,3975,9618196,592341582.6,31-10-2025,21
3/1/25,25/09/2025,59,8/7/25,43.9,55,7818,23354555,1127189261,30-09-2025,63
2/1/25,30/06/2025,45.2,7/4/25,34,45,8236,24321568,995899991.4,30-06-2025,58
1/1/25,3/1/25,40.4,12/3/25,33.7,36.4,6185,20037291,742660880.5,28-03-2025,56
4/1/24,30/12/2024,40,3/10/24,26.6,39,9933,36980528,1190542104,31-12-2024,62
3/1/24,30/09/2024,27.5,4/9/24,24.9,27.3,3738,16546302,429388470.3,30-09-2024,63
2/1/24,8/5/24,29.5,28/06/2024,25.8,25.8,4901,28039802,774930480.2,28-06-2024,58
1/1/24,5/1/24,28.5,15/02/2024,25.5,26.9,3899,25899314,687723370.4,28-03-2024,58
4/1/23,12/12/23,29,16/11/2023,24.9,28,5303,27202575,734116165.3,29-12-2023,63
3/1/23,14/09/2023,28.3,4/7/23,20.7,28,9904,96224425,2397745844,27-09-2023,60
2/1/23,15/06/2023,23.2,10/5/23,17.1,21.4,4744,24393382,515525644.6,28-06-2023,57
1/1/23,21/03/2023,22,18/01/2023,12.9,19.6,7510,40111796,747660390.7,31-03-2023,62
4/1/22,3/10/22,15.5,21/11/2022,12.7,13.2,1934,2184657,30179417.9,30-12-2022,60
3/1/22,2/9/22,16.8,6/7/22,12.8,15.5,2532,4763907,71092024.7,30-09-2022,65
2/1/22,27/05/2022,14.8,27/04/2022,12.6,13.6,1056,3403728,46097307.5,30-06-2022,49
1/1/22,6/1/22,19.3,31/03/2022,13.4,13.6,5368,18640609,320532275.1,31-03-2022,58
4/1/21,27/10/2021,19.1,21/12/2021,16.5,17,8878,36051381,634333603,31-12-2021,62
3/1/21,30/07/2021,20.1,31/08/2021,17.7,18,4680,15517817,282937635.1,30-09-2021,63
2/1/21,14/06/2021,21.9,12/5/21,19,19.3,2808,6161149,124136160.9,30-06-2021,57
1/1/21,22/01/2021,24.6,11/2/21,19.2,19.9,5881,26664389,609655476.5,31-03-2021,58
4/1/20,2/12/20,22,2/11/20,17,20.5,5359,30285986,626301600.7,31-12-2020,42
