Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/25,2/10/25,22.4,30/10/2025,20.5,21.1,27419,221111096,4695357725,31-10-2025,21
3/1/25,15/07/2025,26.1,15/09/2025,21.8,22.2,76555,988051727,23403339245,30-09-2025,64
2/1/25,30/06/2025,22.8,7/4/25,18.3,22.6,37586,673116862,13894640715,30-06-2025,58
1/1/25,6/1/25,24.5,27/03/2025,19.9,20.2,44478,906416066,20522396104,28-03-2025,56
4/1/24,28/10/2024,216.75,26/11/2024,19.1,22.6,57563,798443935,21226696613,31-12-2024,57
3/1/24,4/7/24,205.75,10/9/24,159,179.25,14526,47080320,8548243090,30-09-2024,63
2/1/24,2/5/24,218,1/4/24,193.25,203.75,8765,52808957,10775284582,28-06-2024,58
1/1/24,28/03/2024,194.75,24/01/2024,178,194,6390,90118995,16555155166,28-03-2024,58
4/1/23,10/11/23,198,28/11/2023,186,191,8339,43835465,8429041217,29-12-2023,63
3/1/23,8/8/23,200,4/7/23,150,192.75,17802,84331390,14922404545,27-09-2023,60
2/1/23,27/06/2023,150.75,18/04/2023,134.75,150,5815,47349981,6665050314,28-06-2023,57
1/1/23,21/03/2023,146,28/02/2023,134.5,140,7244,61743259,8716978076,31-03-2023,62
4/1/22,8/12/22,150,12/10/22,127.5,135.25,9092,45324108,6152262305,30-12-2022,60
3/1/22,15/09/2022,157,8/8/22,118.5,137.25,15048,64801145,8303748641,30-09-2022,65
2/1/22,1/4/22,170,27/04/2022,116.25,122,4797,12713266,1632357400,30-06-2022,49
1/1/22,18/01/2022,167.5,10/3/22,140.25,145,13323,116598077,18521416717,31-03-2022,58
4/1/21,1/10/21,158,25/10/2021,140,150,19559,44922237,6641001618,31-12-2021,62
3/1/21,30/09/2021,153,14/09/2021,129,149.75,18975,72698218,9900539446,30-09-2021,63
2/1/21,15/04/2021,151.5,22/06/2021,133,135.25,13259,38380477,5459435113,30-06-2021,57
1/1/21,25/01/2021,187,5/3/21,146.25,148.5,18746,97791200,15574889364,31-03-2021,58
4/1/20,30/12/2020,154,2/11/20,129,149.6,9266,45805863,6732789027,31-12-2020,42
