Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2025-44,27/10/2025,21.5,30/10/2025,20.5,21.1,7771,88403468,1844561303,31-10-2025,5
2025-43,22/10/2025,21.9,24/10/2025,21.2,21.4,3885,28568304,608160406.9,24-10-2025,4
2025-42,13/10/2025,21.9,16/10/2025,21.4,21.8,3655,25474304,551114282.2,17-10-2025,5
2025-41,10/10/25,21.9,10/10/25,20.9,21.8,8945,59548030,1270211321,10/10/25,4
2025-40,30/09/2025,22.5,3/10/25,21.9,22,4631,28349349,626400368.1,3/10/25,5
2025-39,22/09/2025,23.5,26/09/2025,22,22.1,5745,62157432,1409500773,26-09-2025,5
2025-38,19/09/2025,22.9,15/09/2025,21.8,22.8,3831,42613685,948164009.5,19-09-2025,5
2025-37,8/9/25,22.8,12/9/25,21.9,22,6890,43742066,971431254.1,12/9/25,5
2025-36,1/9/25,23.4,4/9/25,22.7,22.8,4840,255556945,5943187492,4/9/25,4
2025-35,26/08/2025,23.9,28/08/2025,22.9,23.3,4823,31752238,739285018.7,29-08-2025,6
2025-34,22/08/2025,24,18/08/2025,22.9,23.9,4045,32987224,775228525.1,22-08-2025,5
2025-33,11/8/25,23.7,13/08/2025,22.5,23,6993,37873227,870229270,15-08-2025,5
2025-32,4/8/25,24.8,7/8/25,23.4,23.5,6425,43891104,1044248379,7/8/25,4
2025-31,28/07/2025,25.1,31/07/2025,23.5,24.6,8186,78982411,1920816032,1/8/25,5
2025-30,21/07/2025,25.6,25/07/2025,24.9,25,4485,62211643,1556787475,25-07-2025,5
2025-29,15/07/2025,26.1,14/07/2025,24.1,25.5,9570,153727676,3905436808,18-07-2025,5
2025-28,11/7/25,24.2,8/7/25,23.1,24.1,4119,50659555,1196080078,11/7/25,4
2025-27,3/7/25,23.8,30/06/2025,22.1,23.7,6307,100168519,2309777476,4/7/25,5
2025-26,27/06/2025,22.2,23/06/2025,21,22.1,3386,73826846,1614203006,27-06-2025,5
2025-25,17/06/2025,22.1,16/06/2025,21.1,21.6,2927,45787014,995322613.5,20-06-2025,5
2025-24,12/6/25,22.6,13/06/2025,21.6,22,2698,23882278,529734115.4,13-06-2025,4
2025-23,6/6/25,22,2/6/25,20.9,21.9,2941,46358643,994789522.9,6/6/25,5
2025-22,27/05/2025,21.6,28/05/2025,20.7,20.9,3561,33853191,711932244,30-05-2025,5
2025-21,22/05/2025,21.9,20/05/2025,21,21.4,2680,48356280,1032593156,23-05-2025,5
2025-20,16/05/2025,21.2,14/05/2025,20.2,21,1518,67098975,1376295591,16-05-2025,3
2025-19,6/5/25,20.8,9/5/25,20.1,20.2,2047,30378884,619488780.3,9/5/25,5
2025-18,30/04/2025,20.9,28/04/2025,20.1,20.3,1938,28004666,575510003.8,2/5/25,4
2025-17,21/04/2025,20.3,23/04/2025,19.6,20.1,2745,31046739,617686182.2,25-04-2025,5
2025-16,17/04/2025,20.3,17/04/2025,19.9,20,986,2720127,54499713.9,17-04-2025,2
2025-15,10/4/25,20.5,7/4/25,18.3,20,5322,158080589,3058864590,11/4/25,5
2025-14,2/4/25,20.5,4/4/25,19.5,19.6,3665,66218273,1321797894,4/4/25,4
2025-13,24/03/2025,20.6,27/03/2025,19.9,20.2,2220,36639423,743217252.7,28-03-2025,5
12/1/25,17/03/2025,20.9,19/03/2025,20,20.5,2468,37962684,770731855.3,21-03-2025,5
11/1/25,10/3/25,21,12/3/25,20.5,20.7,1648,16988639,350594510.8,14-03-2025,4
10/1/25,3/3/25,21.6,7/3/25,20.9,21,2594,78625259,1650732487,7/3/25,5
9/1/25,24/02/2025,22.4,27/02/2025,21.1,21.3,2583,20531510,448700791.2,28-02-2025,4
8/1/25,17/02/2025,22.9,20/02/2025,22.1,22.4,2785,60505801,1347907220,21-02-2025,5
7/1/25,14/02/2025,23,13/02/2025,22.2,22.9,2107,21545569,485985901.7,14-02-2025,4
6/1/25,7/2/25,22.8,5/2/25,21.9,22.8,4161,50880984,1137132019,7/2/25,4
5/1/25,27/01/2025,23.6,29/01/2025,22.5,22.7,7408,263724349,5992040125,31-01-2025,5
4/1/25,23/01/2025,24.1,24/01/2025,23.4,23.5,4573,71465851,1701021912,24-01-2025,5
3/1/25,17/01/2025,24.1,17/01/2025,23.8,24,1961,60141216,1442000266,17-01-2025,3
2/1/25,6/1/25,24.5,7/1/25,23.4,23.9,5163,95675773,2289550201,10/1/25,5
1/1/25,3/1/25,24.4,2/1/25,22.5,23.8,4807,91729008,2162781564,3/1/25,2
2024-52,23/12/2024,22.6,26/12/2024,22.1,22.3,3892,39439241,882354526.3,27-12-2024,4
2024-51,20/12/2024,22.7,16/12/2024,21.4,22.5,6176,96242052,2132876133,20-12-2024,5
2024-50,13/12/2024,21.6,10/12/24,20.7,21.4,3872,126041868,2667533122,13-12-2024,5
2024-49,6/12/24,21,2/12/24,19.6,20.7,3149,40089901,823567876.9,6/12/24,5
2024-48,28/11/2024,20.3,26/11/2024,19.1,19.7,5269,60697877,1199253552,29-11-2024,5
2024-47,18/11/2024,21.9,22/11/2024,19.8,19.9,8693,249465182,5145848233,22-11-2024,5
2024-46,14/11/2024,21.7,12/11/24,20.9,21.5,3730,32428962,692295932.3,14-11-2024,4
2024-45,7/11/24,21.9,6/11/24,20.6,21.2,7465,88161267,1878861193,8/11/24,3
2024-44,28/10/2024,216.75,28/10/2024,210.25,212.5,1589,1279143,271994560.8,28-10-2024,1
2024-43,25/10/2024,216,21/10/2024,196,214,6665,11122520,2259644208,25-10-2024,5
2024-42,15/10/2024,198.5,16/10/2024,195.5,197,1299,3429973,677049377,18-10-2024,4
2024-41,10/10/24,199,8/10/24,186,197,2391,6882823,1351498065,11/10/24,5
2024-40,4/10/24,187,3/10/24,179.5,186.25,1884,2683188,485025100,4/10/24,5
2024-39,26/09/2024,176.5,23/09/2024,165,172.75,1542,3912507,664303529.3,27-09-2024,5
2024-38,20/09/2024,169.5,18/09/2024,163.25,167.25,622,448223,74449792,20-09-2024,3
2024-37,9/9/24,168,10/9/24,159,161,1447,6217832,998721362,13-09-2024,5
2024-36,5/9/24,178,6/9/24,165,165.5,1472,3390583,564544807.3,6/9/24,5
2024-35,26/08/2024,180,30/08/2024,169,169.25,1235,938947,162666816.3,30-08-2024,5
2024-34,20/08/2024,183.25,23/08/2024,179.5,180,663,1417772,258065260.5,23-08-2024,4
2024-33,15/08/2024,183,13/08/2024,178,180.5,924,4220057,757818362,16-08-2024,5
2024-32,6/8/24,181,5/8/24,177.5,179.75,912,2272821,403085865.3,9/8/24,5
2024-31,29/07/2024,192,31/07/2024,171,180.25,2581,4662166,823769336.3,2/8/24,5
2024-30,25/07/2024,196,23/07/2024,190.25,191.25,651,1196147,229476260.5,26-07-2024,5
2024-29,17/07/2024,198,19/07/2024,193.75,194,772,10785058,2092703306,19-07-2024,5
2024-28,8/7/24,204.5,12/7/24,194,194.5,934,1863302,367608794.5,12/7/24,5
2024-27,4/7/24,205.75,1/7/24,203,203.5,367,4762766,975139184.3,5/7/24,5
